Var1,Freq
0,1064710
1,122466
2,77645
3,54594
4,46917
5,39576
6,37467
7,34890
8,34150
9,33338
10,33678
11,34201
12,36405
13,37872
14,41968
15,46083
16,52291
17,60292
18,71306
19,84840
20,104668
21,124302
22,148909
23,175780
24,206962
25,243616
26,285520
27,337591
28,399860
29,476255
30,570008
31,680622
32,810635
33,950904
34,1094404
35,1226899
36,1336973
37,1398440
38,1391314
39,1283580
40,1027071
