Var1,Freq
0,352271
1,98784
2,85816
3,57075
4,55806
5,45143
6,46667
7,40930
8,42079
9,38325
10,40441
11,37438
12,39928
13,39095
14,41391
15,41123
16,44183
17,44863
18,50007
19,53055
20,58978
21,64882
22,74687
23,85276
24,104171
25,126395
26,167239
27,232423
28,345217
29,550460
30,924585
31,1572312
32,2583550
33,3704898
34,3692701
