Var1,Freq
0,723961
1,190062
2,129527
3,90492
4,78097
5,64917
6,60001
7,55338
8,54704
9,52296
10,52865
11,54412
12,57529
13,62051
14,68965
15,78416
16,94523
17,116586
18,146857
19,186739
20,236505
21,301322
22,379408
23,479454
24,599593
25,742267
26,907124
27,1092504
28,1278693
29,1446417
30,1569430
31,1600756
32,1480070
33,1158074
34,629047
