Var1,Freq
0,583393
1,91582
2,64837
3,43179
4,39280
5,31930
6,30859
7,27032
8,27214
9,24219
10,24896
11,23222
12,24354
13,22951
14,24353
15,24053
16,25343
17,25676
18,27617
19,28320
20,31223
21,33589
22,37373
23,40264
24,45509
25,50418
26,58042
27,66950
28,80714
29,97439
30,122617
31,156893
32,209873
33,289796
34,419822
35,626582
36,972161
37,1537081
38,2389825
39,3372935
40,3728778
