mu,nu,s,pop
9.70998353327179e-07,4.0880013485896e-08,1.25841465979037e-05,teosinte
2.29404618952934e-06,6.36211072566479e-08,1.45387871768692e-05,teosinte
2.06134076466173e-05,7.86685263694767e-08,6.26163201038456e-10,teosinte
1.09827652044894e-06,9.43055204247127e-08,1.22070183940109e-05,landrace
2.97730524907391e-06,9.94910391577211e-08,1.5899578894618e-05,landrace
3.85393820217174e-05,1.14717216358473e-07,1.83567217973395e-09,landrace
1.08744681099074e-06,3.78222518817792e-08,1.28735661771738e-05,maize
3.17919772062662e-06,6.86171374983006e-08,1.60777614591494e-05,maize
1.78888948464546e-05,3.78546765284525e-08,1.48457593493201e-09,maize
