files	totpe	r1ap	r2ap	outpe	totbp	qtrimmed	totout
JRA1_CTTGTA_R2.fastq.gz	        189,481,714	                 6,406,050 (3.4%)	                 3,236,553 (1.7%)	   189,481,714 (100.0%)	 38,275,306,228 bp	           1,907,031,889 bp (5.0%)	  36,285,063,785 bp (94.8%)
JRA2_TGACCA_R2.fastq.gz	        189,719,738	                 5,881,559 (3.1%)	                 2,381,794 (1.3%)	   189,719,738 (100.0%)	 38,323,387,076 bp	           1,990,389,598 bp (5.2%)	  36,278,323,949 bp (94.7%)
JRA3_CCGTCC_R2.fastq.gz	        175,854,254	                 6,906,651 (3.9%)	                 3,252,859 (1.8%)	   175,854,254 (100.0%)	 35,522,559,308 bp	           1,440,952,111 bp (4.1%)	  33,989,207,288 bp (95.7%)
JRB1_NoIndex_R2.fastq.gz	        208,861,518	                 7,904,235 (3.8%)	                 3,638,915 (1.7%)	   208,861,518 (100.0%)	 42,190,026,636 bp	           2,402,626,099 bp (5.7%)	  39,684,572,895 bp (94.1%)
JRB2_NoIndex_R2.fastq.gz	        211,833,179	                 7,420,629 (3.5%)	                 3,213,895 (1.5%)	   211,833,179 (100.0%)	 42,790,302,158 bp	           2,479,148,011 bp (5.8%)	  40,211,038,697 bp (94.0%)
JRB3_GTCCGC_R2.fastq.gz	        181,134,608	                 6,356,589 (3.5%)	                 2,636,293 (1.5%)	   181,134,608 (100.0%)	 36,589,190,816 bp	           1,588,014,546 bp (4.3%)	  34,921,065,984 bp (95.4%)
JRC1_AGTTCC_R2.fastq.gz	        194,386,784	                 6,299,640 (3.2%)	                 2,820,855 (1.5%)	   194,386,784 (100.0%)	 39,266,130,368 bp	           1,928,424,632 bp (4.9%)	  37,274,268,134 bp (94.9%)
JRC2_GCCAAT_R2.fastq.gz	        182,971,028	                 5,394,128 (2.9%)	                 2,113,162 (1.2%)	   182,971,028 (100.0%)	 36,960,147,656 bp	           2,046,336,487 bp (5.5%)	  34,859,120,798 bp (94.3%)
JRC3_GTGAAA_R2.fastq.gz	        193,660,542	                 8,312,913 (4.3%)	                 3,875,293 (2.0%)	   193,660,542 (100.0%)	 39,119,429,484 bp	           1,927,764,733 bp (4.9%)	  37,054,241,840 bp (94.7%)
JRD1_ATGTCA_R2.fastq.gz	        182,421,789	                 6,042,301 (3.3%)	                 2,733,443 (1.5%)	   182,421,789 (100.0%)	 36,849,201,378 bp	           2,156,904,028 bp (5.9%)	  34,628,738,076 bp (94.0%)
JRD2_CAGATC_R2.fastq.gz	        161,133,675	                 5,192,332 (3.2%)	                 2,576,492 (1.6%)	   161,133,675 (100.0%)	 32,549,002,350 bp	           1,772,728,025 bp (5.4%)	  30,697,677,948 bp (94.3%)
JRD3_NoIndex_R2.fastq.gz	        199,217,278	                 9,891,276 (5.0%)	                 4,264,969 (2.1%)	   199,217,278 (100.0%)	 40,241,890,156 bp	           2,421,733,686 bp (6.0%)	  37,538,271,479 bp (93.3%)
JRE1_CCGTCC_R2.fastq.gz	        197,215,329	                 6,656,589 (3.4%)	                 3,100,180 (1.6%)	   197,215,329 (100.0%)	 39,837,496,458 bp	           2,029,045,456 bp (5.1%)	  37,737,711,191 bp (94.7%)
JRE2_CTTGTA_R2.fastq.gz	        201,967,954	                 8,575,922 (4.2%)	                 3,573,909 (1.8%)	   201,967,954 (100.0%)	 40,797,526,708 bp	           1,883,827,592 bp (4.6%)	  38,728,702,552 bp (94.9%)
JRF1_NoIndex_R2.fastq.gz	        219,687,396	                 7,885,666 (3.6%)	                 3,764,152 (1.7%)	   219,687,396 (100.0%)	 44,376,853,992 bp	           2,774,652,564 bp (6.3%)	  41,500,279,019 bp (93.5%)
JRF2_AGTCAA_R2.fastq.gz	        185,932,103	                 5,634,182 (3.0%)	                 2,599,868 (1.4%)	   185,932,103 (100.0%)	 37,558,284,806 bp	           2,051,024,044 bp (5.5%)	  35,431,143,378 bp (94.3%)
JRG1_GTGAAA_R2.fastq.gz	        184,226,991	                 6,110,213 (3.3%)	                 2,712,415 (1.5%)	   184,226,991 (100.0%)	 37,213,852,182 bp	           1,930,183,670 bp (5.2%)	  35,222,995,399 bp (94.7%)
JRG2_AGTTCC_R2.fastq.gz	        194,999,346	                 7,611,993 (3.9%)	                 3,625,310 (1.9%)	   194,999,346 (100.0%)	 39,389,867,892 bp	           1,521,764,235 bp (3.9%)	  37,772,828,713 bp (95.9%)
JRH1_CGATGT_R2.fastq.gz	        197,733,105	                 9,713,626 (4.9%)	                 4,917,542 (2.5%)	   197,733,105 (100.0%)	 39,942,087,210 bp	           2,102,476,989 bp (5.3%)	  37,645,832,824 bp (94.3%)
JRH2_ATGTCA_R2.fastq.gz	        185,785,805	                 7,092,808 (3.8%)	                 2,833,935 (1.5%)	   185,785,805 (100.0%)	 37,528,732,610 bp	           1,773,755,392 bp (4.7%)	  35,660,525,276 bp (95.0%)
