trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Prot_Res_With_IBM_For_GWAS,-0.011586,-0.010403,-0.003626,-0.027493,0.006441, 0.192632, 0.145964,CHG_landrace_maize,S49,Protein,-0.046667
Prot_Res_With_IBM_For_GWAS,0.011648,-0.014499,-0.005499,-0.043387,-0.005323, 0.099676, 0.042617,CHG_landrace_maize,S100,Protein,-0.05706
Prot_Res_With_IBM_For_GWAS,-0.040203,-0.04579,-0.066861,-0.011094,-0.084006, 0.336555, 0.088600,CHG_landrace_maize,S64,Protein,-0.247954
Prot_Res_With_IBM_For_GWAS,-0.001153,-0.01611,0.045622,-0.061538,-0.002199,-0.004185,-0.039564,CHG_landrace_maize,S50,Protein,-0.035378
Prot_Res_With_IBM_For_GWAS,-0.006205,-0.000869,-0.004121,0.028307,-0.054697, 0.210542, 0.172957,CHG_landrace_maize,S12,Protein,-0.037585
Prot_Res_With_IBM_For_GWAS,-0.021109,-0.103675,-0.162564,0.265387,-0.000808,-0.124254,-0.147023,CHG_landrace_maize,S23,Protein,-0.022769
Prot_Res_With_IBM_For_GWAS,-0.020058,-0.014844,-0.022597,0.002989,-0.029318, 0.232954, 0.149125,CHG_landrace_maize,S52,Protein,-0.083828
Prot_Res_With_IBM_For_GWAS,0.00284,1.6e-05,-0.00188,-0.004229,0.000703, 0.184483, 0.181934,CHG_landrace_maize,S39,Protein,-0.00255
Prot_Res_With_IBM_For_GWAS,0.008292,0.000449,0.003793,0.007756,8.3e-05,0.167895,0.188266,CHG_landrace_maize,S5,Protein,0.020373
Prot_Res_With_IBM_For_GWAS,0.000654,0.001183,0.003248,0.005997,0.000393,0.178643,0.190117,CHG_landrace_maize,S11,Protein,0.011475
Prot_Res_With_IBM_For_GWAS,-0.022519,-0.024904,0.004374,-0.015211,-0.133152, 0.275920, 0.084509,CHG_landrace_maize,S65,Protein,-0.191412
Prot_Res_With_IBM_For_GWAS,0.000957,0.001413,-0.000396,0.006073,0.004849, 0.176640, 0.189537,CHG_landrace_maize,S51,Protein,0.012896
Prot_Res_With_IBM_For_GWAS,-0.004413,0.009477,0.049375,-0.016454,-0.024158, 0.105065, 0.118893,CHG_landrace_maize,S13,Protein,0.013827
Prot_Res_With_IBM_For_GWAS,0.003419,0.002583,-0.000891,-0.004402,0.01098, 0.183270, 0.194959,CHG_landrace_maize,S24,Protein,0.011689
Prot_Res_With_IBM_For_GWAS,-0.044582,0.206029,-0.068878,-0.023281,-0.003545, 0.132131, 0.197875,CHG_landrace_maize,S53,Protein,0.065743
Prot_Res_With_IBM_For_GWAS,0.213548,-0.016707,-0.033398,-0.00786,-0.076224, 0.129392, 0.208752,CHG_landrace_maize,S4,Protein,0.079359
Prot_Res_With_IBM_For_GWAS,0.03619,-0.027704,-0.02984,-0.025194,-0.09306, 0.321880, 0.182271,CHG_landrace_maize,S26,Protein,-0.139608
Prot_Res_With_IBM_For_GWAS,-0.037631,-0.015235,-0.006144,-0.060021,-0.109216, 0.334991, 0.106744,CHG_landrace_maize,S55,Protein,-0.228247
Prot_Res_With_IBM_For_GWAS,-0.037057,-0.008008,-0.006092,-0.007101,-0.057208, 0.138031, 0.022565,CHG_landrace_maize,S66,Protein,-0.115466
Prot_Res_With_IBM_For_GWAS,0.005366,0.000562,-0.000679,0.014929,0.002268, 0.164761, 0.187206,CHG_landrace_maize,S28,Protein,0.022446
Prot_Res_With_IBM_For_GWAS,-0.010981,0.002228,-0.05007,-0.047809,-0.004562, 0.177097, 0.065902,CHG_landrace_maize,S14,Protein,-0.111194
Prot_Res_With_IBM_For_GWAS,-0.000636,-0.003088,-1.3e-05,0.002301,0.002643, 0.187822, 0.189029,CHG_landrace_maize,S25,Protein,0.001207
Prot_Res_With_IBM_For_GWAS,-0.00549,-0.097719,-0.017879,-0.002158,-0.168665, 0.418798, 0.126887,CHG_landrace_maize,S54,Protein,-0.291911
Prot_Res_With_IBM_For_GWAS,-0.019022,0.02222,0.001681,-0.00721,-0.033851,-0.099737,-0.135919,CHG_landrace_maize,S40,Protein,-0.036182
Prot_Res_With_IBM_For_GWAS,-0.069936,-0.019815,-0.06029,-0.013847,-0.040396, 0.384564, 0.180280,CHG_landrace_maize,S27,Protein,-0.204284
Prot_Res_With_IBM_For_GWAS,-0.002882,0.008682,0.002571,-0.014615,0.021061, 0.163204, 0.178021,CHG_landrace_maize,S56,Protein,0.014817
Prot_Res_With_IBM_For_GWAS,-0.016043,-0.020742,-0.008066,0.01578,-0.001273, 0.198206, 0.167862,CHG_landrace_maize,S67,Protein,-0.030344
Prot_Res_With_IBM_For_GWAS,-0.023995,0.014165,-0.0762,-0.1161,-0.007234,-0.057713,-0.267077,CHG_landrace_maize,S29,Protein,-0.209364
Prot_Res_With_IBM_For_GWAS,0.002407,0.006818,-0.003512,-0.000135,0.002317, 0.168644, 0.176539,CHG_landrace_maize,S15,Protein,0.007895
Prot_Res_With_IBM_For_GWAS,0.008342,-0.034782,-0.012787,-0.0444,-0.237108, 0.458134, 0.137398,CHG_landrace_maize,S69,Protein,-0.320735
Prot_Res_With_IBM_For_GWAS,-0.052846,-0.058594,-0.018007,-0.017009,-0.061133, 0.378150, 0.170560,CHG_landrace_maize,S73,Protein,-0.207589
