mn,sd,med,type,par,ne,class,context,ft
5.37561989695276,0.000558302907812859,5.37562010182962,nu,largedata/revise_features/dsfs_pop3_gf_CG_Gene_up_5k_50000_ft.RData,50000,dsfs,CG,Gene_up
4.53045932292359,0.000670079326602206,4.53046173255257,mu,largedata/revise_features/dsfs_pop3_gf_CG_Gene_up_5k_50000_ft.RData,50000,dsfs,CG,Gene_up
0.000110648991109501,9.75798128520125e-05,7.73932781152255e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_Gene_up_5k_5e+05_ft.RData,5e+05,dsfs,CG,Gene_up
6.37559487351668,0.000565839759742796,6.37559290096619,nu,largedata/revise_features/dsfs_pop3_gf_CG_Gene_up_5k_5e+05_ft.RData,5e+05,dsfs,CG,Gene_up
5.53042877800404,0.000673213767056071,5.53043014203056,mu,largedata/revise_features/dsfs_pop3_gf_CG_Gene_up_5k_5e+05_ft.RData,5e+05,dsfs,CG,Gene_up
8.26016688654944e-05,7.27427285637462e-05,5.78202141688569e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_1e+05_ft.RData,1e+05,dsfs,CG,Intergenic
5.49948619157004,0.000479037140085792,5.49948466765548,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_1e+05_ft.RData,1e+05,dsfs,CG,Intergenic
4.49141116079469,0.000546339171598029,4.49140473044005,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_1e+05_ft.RData,1e+05,dsfs,CG,Intergenic
8.24913699465561e-05,7.26043195141947e-05,5.78814979492933e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_1e+06_ft.RData,1e+06,dsfs,CG,Intergenic
6.49946446832117,0.000480247744060541,6.49947049093024,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_1e+06_ft.RData,1e+06,dsfs,CG,Intergenic
5.49138718040731,0.000545498600454104,5.49139239288506,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_1e+06_ft.RData,1e+06,dsfs,CG,Intergenic
8.22057467530934e-05,7.20481158313032e-05,5.78043471173196e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_50000_ft.RData,50000,dsfs,CG,Intergenic
5.19846119964943,0.000486350744416895,5.19845887556886,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_50000_ft.RData,50000,dsfs,CG,Intergenic
4.1903903332272,0.000552891227108509,4.19038496126999,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_50000_ft.RData,50000,dsfs,CG,Intergenic
8.25399659291716e-05,7.26275475742082e-05,5.79252367117189e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_5e+05_ft.RData,5e+05,dsfs,CG,Intergenic
6.19842720717266,0.000481866216991031,6.19842388144142,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_5e+05_ft.RData,5e+05,dsfs,CG,Intergenic
5.19034491376364,0.000548846211889744,5.1903408683435,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intergenic_5e+05_ft.RData,5e+05,dsfs,CG,Intergenic
0.000321566070155676,0.000281185103931737,0.000226850596244898,s,largedata/revise_features/dsfs_pop3_gf_CG_Intron_1e+05_ft.RData,1e+05,dsfs,CG,Intron
5.80740316228153,0.000804918791217753,5.80740386000805,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_1e+05_ft.RData,1e+05,dsfs,CG,Intron
4.89253449921267,0.00100018695881972,4.89252986152861,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_1e+05_ft.RData,1e+05,dsfs,CG,Intron
0.00032235661078537,0.000282090246503738,0.000226262735075495,s,largedata/revise_features/dsfs_pop3_gf_CG_Intron_1e+06_ft.RData,1e+06,dsfs,CG,Intron
6.80738769739953,0.000803768496145163,6.80738369357562,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_1e+06_ft.RData,1e+06,dsfs,CG,Intron
5.8925191188112,0.00100283497755117,5.89250511235962,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_1e+06_ft.RData,1e+06,dsfs,CG,Intron
0.000316210944373906,0.000277771373348766,0.000222698973567015,s,largedata/revise_features/dsfs_pop3_gf_CG_Intron_50000_ft.RData,50000,dsfs,CG,Intron
5.50638765244593,0.000811412934899935,5.50638576518994,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_50000_ft.RData,50000,dsfs,CG,Intron
4.59155503029108,0.00101283418705159,4.59155750105091,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_50000_ft.RData,50000,dsfs,CG,Intron
0.000321163494372893,0.000283090796728573,0.000225606300179962,s,largedata/revise_features/dsfs_pop3_gf_CG_Intron_5e+05_ft.RData,5e+05,dsfs,CG,Intron
6.5063459265419,0.000805404058271143,6.50633768907525,nu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_5e+05_ft.RData,5e+05,dsfs,CG,Intron
5.59148049547624,0.00100231056026991,5.59148656284336,mu,largedata/revise_features/dsfs_pop3_gf_CG_Intron_5e+05_ft.RData,5e+05,dsfs,CG,Intron
3.87215658107481e-05,3.39895784053053e-05,2.71481121096186e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_TE_1e+05_ft.RData,1e+05,dsfs,CG,TE
5.38689463084604,0.000243622335597472,5.38689042741914,nu,largedata/revise_features/dsfs_pop3_gf_CG_TE_1e+05_ft.RData,1e+05,dsfs,CG,TE
4.32166266252878,0.00026855668709577,4.32165978189927,mu,largedata/revise_features/dsfs_pop3_gf_CG_TE_1e+05_ft.RData,1e+05,dsfs,CG,TE
3.87246838154852e-05,3.3948066795183e-05,2.71613768987491e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_TE_1e+06_ft.RData,1e+06,dsfs,CG,TE
6.38688494819134,0.000241450489914588,6.38688827286057,nu,largedata/revise_features/dsfs_pop3_gf_CG_TE_1e+06_ft.RData,1e+06,dsfs,CG,TE
5.32165187187272,0.000266446630489194,5.3216573476686,mu,largedata/revise_features/dsfs_pop3_gf_CG_TE_1e+06_ft.RData,1e+06,dsfs,CG,TE
3.88745100570046e-05,3.41737819909132e-05,2.72326803132123e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_TE_50000_ft.RData,50000,dsfs,CG,TE
5.08588157075677,0.000236161751242238,5.08588089450386,nu,largedata/revise_features/dsfs_pop3_gf_CG_TE_50000_ft.RData,50000,dsfs,CG,TE
4.02065150463541,0.00025997323288447,4.02065349906843,mu,largedata/revise_features/dsfs_pop3_gf_CG_TE_50000_ft.RData,50000,dsfs,CG,TE
3.87462416054582e-05,3.41440146666498e-05,2.70416116755418e-05,s,largedata/revise_features/dsfs_pop3_gf_CG_TE_5e+05_ft.RData,5e+05,dsfs,CG,TE
6.08586869347217,0.000233043405284593,6.08586578010998,nu,largedata/revise_features/dsfs_pop3_gf_CG_TE_5e+05_ft.RData,5e+05,dsfs,CG,TE
5.02063848649284,0.000256221484877368,5.0206409694264,mu,largedata/revise_features/dsfs_pop3_gf_CG_TE_5e+05_ft.RData,5e+05,dsfs,CG,TE
