mn,sd,med,type,par,ne,class,teo,context,ft
4.14231547370508,0.00707690620408483,4.14235053350705,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Gene_down_5k
7.76311460846539,0.0458487983917751,7.76342252282568,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Gene_down_5k
6.46201364184249,0.000697516835093572,6.46202587688571,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Gene_down_5k
4.14081981772488,0.00758766434460922,4.14098858537049,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Gene_down_5k
6.45895118031915,0.0459368566568924,6.45904288869643,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Gene_down_5k
5.16110051663083,0.000706073453973804,5.1611036647779,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Gene_down_5k
4.14207285427476,0.0073968044964891,4.14224405820618,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Gene_down_5k
7.4615649575759,0.0465559744939617,7.46141280314674,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Gene_down_5k
6.16101129743345,0.000720848284333145,6.16095780681687,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Gene_down_5k
1.76858240108851,0.0745582928409836,1.7805086324884,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Gene_down_5k
5.82032016234951,0.00226213866942149,5.82053828700503,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Gene_down_5k
4.60317370370708,0.00925449032253085,4.601389524259,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Gene_down_5k
1.86437904982726,0.0542878417030947,1.86026295030961,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Gene_down_5k
6.82249755223578,0.00184219290777634,6.82253089566792,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Gene_down_5k
5.59145552462496,0.00654607607278522,5.5918776471149,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_1e+06_ft.RData,1e+06,dsfs,hypo,CG,Gene_down_5k
1.29097015025355,0.743463729314885,1.73447147366193,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Gene_down_5k
5.50617041947372,0.0206010491633048,5.51794453224704,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Gene_down_5k
4.37745780896169,0.119380627490308,4.30620655918588,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_50000_ft.RData,50000,dsfs,hypo,CG,Gene_down_5k
1.82633421821945,0.0462163196553725,1.82481638921129,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Gene_down_5k
6.52060803326126,0.00174937195527726,6.52068559966565,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Gene_down_5k
5.29500360112338,0.00559586455816338,5.29517947939267,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_down_5k_teo-hypo_5e+05_ft.RData,5e+05,dsfs,hypo,CG,Gene_down_5k
4.21537791859154,0.00766235365485892,4.21602011448746,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Gene_up_5k
6.81839623501544,0.0477130377431335,6.81773154229073,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Gene_up_5k
5.45537056990993,0.000712399239657733,5.45537645036371,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_1e+05_ft.RData,1e+05,dsfs,hyper,CG,Gene_up_5k
4.21544795310567,0.00716444970069339,4.21551686842071,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Gene_up_5k
7.81823152126705,0.0459735206710376,7.81972835960507,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Gene_up_5k
6.45534541656287,0.000679467469010067,6.45535451606626,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_1e+06_ft.RData,1e+06,dsfs,hyper,CG,Gene_up_5k
4.21487822749499,0.00650291691898224,4.21497990977142,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Gene_up_5k
6.51562658464307,0.0455929763767267,6.5156128314637,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Gene_up_5k
5.15436586298555,0.000635384330259165,5.15437762933009,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_50000_ft.RData,50000,dsfs,hyper,CG,Gene_up_5k
4.21582384520532,0.00729071023029455,4.21547698521235,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Gene_up_5k
7.51772009428274,0.0471579569180495,7.51785234219374,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Gene_up_5k
6.15430116764444,0.000690380181695823,6.1542958231313,mu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hyper_5e+05_ft.RData,5e+05,dsfs,hyper,CG,Gene_up_5k
1.55458020853391,0.121937432722721,1.5825057566588,s,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Gene_up_5k
5.80726748895501,0.00337803250189726,5.80780169884131,nu,largedata/revise_ft_sep/dsfs_pop3_gf_CG_Gene_up_5k_teo-hypo_1e+05_ft.RData,1e+05,dsfs,hypo,CG,Gene_up_5k
