trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Fruc_Res_With_IBM_For_GWAS,-0.000481,0.008478,-0.001498,0.00869,-0.41752, 0.246531,-0.155802,CG_landrace_maize,S20,Fructose,-0.402331
Fruc_Res_With_IBM_For_GWAS,0.01756,-0.002144,-0.032315,-0.010314,0.000933, 0.034563, 0.008283,CG_landrace_maize,S21,Fructose,-0.02628
Fruc_Res_With_IBM_For_GWAS,-0.028078,-0.008175,-0.034875,-0.02338,-0.047034, 0.195332, 0.053789,CG_landrace_maize,S95,Fructose,-0.141542
Fruc_Res_With_IBM_For_GWAS,0.055026,0.030902,0.046297,0.076464,-0.610582, 0.268705,-0.133187,CG_landrace_maize,S62,Fructose,-0.401893
Fruc_Res_With_IBM_For_GWAS,0.00879,0.00178,0.000956,0.010132,0.00455,0.146540,0.172748,CG_landrace_maize,S24,Fructose,0.026208
Fruc_Res_With_IBM_For_GWAS,0.007592,0.015228,0.00549,0.000913,0.001993,0.153287,0.184505,CG_landrace_maize,S11,Fructose,0.031216
Fruc_Res_With_IBM_For_GWAS,-0.018287,-0.020045,-0.017745,-0.007334,-0.120775, 0.137077,-0.047109,CG_landrace_maize,S60,Fructose,-0.184186
Fruc_Res_With_IBM_For_GWAS,0.006801,0.025207,0.001964,-0.026346,-0.523287, 0.234591,-0.281069,CG_landrace_maize,S93,Fructose,-0.515661
Fruc_Res_With_IBM_For_GWAS,-0.019035,-0.024787,-0.01944,-0.020873,1.323708,-0.043106, 1.196466,CG_landrace_maize,S96,Fructose,1.239573
Fruc_Res_With_IBM_For_GWAS,0.000517,0.002506,-0.001421,-0.000561,-0.000853, 0.179857, 0.180045,CG_landrace_maize,S10,Fructose,0.000188
Fruc_Res_With_IBM_For_GWAS,-0.037748,-0.032124,-0.025209,-0.073073,-0.006995, 0.528616, 0.353467,CG_landrace_maize,S59,Fructose,-0.175149
Fruc_Res_With_IBM_For_GWAS,-0.011135,-0.015542,-0.001807,-0.024796,-0.005456, 0.228475, 0.169739,CG_landrace_maize,S23,Fructose,-0.058736
