trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Kwt_5loc_residuals,0.012697,-0.003044,0.007252,-0.016245,-0.00748, 0.644931, 0.638110,CG_teosinte_maize,S76,100 Kernel weight,-0.00682
Kwt_5loc_residuals,0.005698,0.013921,0.013643,0.007494,-0.000863, 0.595557, 0.635450,CG_teosinte_maize,S80,100 Kernel weight,0.039893
Kwt_5loc_residuals,0.017455,-0.008795,0.009228,4.4e-05,-0.010462, 0.629938, 0.637409,CG_teosinte_maize,S91,100 Kernel weight,0.00747
Kwt_5loc_residuals,-0.002968,0.03548,0.009691,0.008912,-0.00198, 0.586840, 0.635975,CG_teosinte_maize,S78,100 Kernel weight,0.049135
Kwt_5loc_residuals,0.006661,-0.007595,0.008972,-0.029075,0.006228, 0.653615, 0.638806,CG_teosinte_maize,S82,100 Kernel weight,-0.014809
Kwt_5loc_residuals,0.022973,-0.00325,0.000682,-0.061506,-0.005333, 0.699255, 0.652821,CG_teosinte_maize,S75,100 Kernel weight,-0.046434
Kwt_5loc_residuals,0.031061,0.018928,-0.000748,0.035586,-0.005632, 0.558754, 0.637950,CG_teosinte_maize,S43,100 Kernel weight,0.079195
Kwt_5loc_residuals,0.036121,0.0032,0.006752,-0.007678,0.018688, 0.575448, 0.632531,CG_teosinte_maize,S72,100 Kernel weight,0.057083
Kwt_5loc_residuals,0.028975,-0.002554,0.019037,-0.013048,0.00309, 0.596721, 0.632220,CG_teosinte_maize,S77,100 Kernel weight,0.0355
Kwt_5loc_residuals,0.041877,0.006114,0.014561,-0.003991,-0.016345, 0.564267, 0.606483,CG_teosinte_maize,S81,100 Kernel weight,0.042216
Kwt_5loc_residuals,0.03618,0.011512,-0.013641,0.016069,-0.005939, 0.591289, 0.635470,CG_teosinte_maize,S92,100 Kernel weight,0.044181
Kwt_5loc_residuals,0.017813,0.005091,0.018795,0.046714,-0.00642, 0.546636, 0.628629,CG_teosinte_maize,S79,100 Kernel weight,0.081993
Kwt_5loc_residuals,-0.012749,-0.028306,0.02807,0.018179,-0.026016, 0.664542, 0.643720,CG_teosinte_maize,S83,100 Kernel weight,-0.020822
Kwt_5loc_residuals,0.011211,0.008738,0.017504,0.015923,-0.007294, 0.585975, 0.632057,CG_teosinte_maize,S94,100 Kernel weight,0.046082
Kwt_5loc_residuals,0.025865,0.005585,0.030875,-0.01648,0.000509, 0.585127, 0.631479,CG_teosinte_maize,S99,100 Kernel weight,0.046354
Kwt_5loc_residuals,0.041121,0.020567,0.013994,-0.006541,-0.004204, 0.565542, 0.630480,CG_teosinte_maize,S85,100 Kernel weight,0.064937
Kwt_5loc_residuals,0.011586,0.011541,0.011699,0.005579,-0.004464, 0.596979, 0.632921,CG_teosinte_maize,S96,100 Kernel weight,0.035941
Kwt_5loc_residuals,0.011612,0.021057,0.000523,-0.017283,0.005353, 0.618302, 0.639563,CG_teosinte_maize,S95,100 Kernel weight,0.021262
Kwt_5loc_residuals,0.01739,0.028006,0.011379,-0.013959,0.007991, 0.584820, 0.635627,CG_teosinte_maize,S93,100 Kernel weight,0.050807
Kwt_5loc_residuals,0.020461,-0.002808,-0.007222,0.018893,0.010463, 0.598513, 0.638299,CG_teosinte_maize,S8,100 Kernel weight,0.039787
Kwt_5loc_residuals,0.017778,0.017437,0.028598,0.002491,-0.001886, 0.569821, 0.634239,CG_teosinte_maize,S84,100 Kernel weight,0.064418
Kwt_5loc_residuals,0.036575,0.009349,-0.011328,-0.013432,-0.004859, 0.618424, 0.634728,CG_teosinte_maize,S9,100 Kernel weight,0.016305
Kwt_5loc_residuals,0.028356,0.023208,0.009781,0.008845,-0.000952, 0.567452, 0.636690,CG_teosinte_maize,S88,100 Kernel weight,0.069238
Kwt_5loc_residuals,0.022372,0.002733,0.005503,-0.022006,-0.002122, 0.630187, 0.636667,CG_teosinte_maize,S86,100 Kernel weight,0.00648
Kwt_5loc_residuals,0.025434,0.016786,0.014495,-0.015122,-0.007018, 0.599449, 0.634023,CG_teosinte_maize,S97,100 Kernel weight,0.034575
Kwt_5loc_residuals,0.018623,-0.007804,0.029802,-0.025264,-0.008085, 0.623673, 0.630946,CG_teosinte_maize,S90,100 Kernel weight,0.007272
Kwt_5loc_residuals,0.005254,0.02177,0.011253,-0.010369,0.000595, 0.606124, 0.634627,CG_teosinte_maize,S89,100 Kernel weight,0.028503
Kwt_5loc_residuals,0.029294,0.010758,-0.003707,-0.007693,-0.001518, 0.606949, 0.634082,CG_teosinte_maize,S87,100 Kernel weight,0.027134
Kwt_5loc_residuals,0.026023,-0.010736,-0.012505,-0.026659,-0.009812, 0.674631, 0.640943,CG_teosinte_maize,S98,100 Kernel weight,-0.033689
Nitr_Res_With_IBM_For_GWAS,0.005155,0.031579,0.005555,0.022942,-0.003545, 0.034605, 0.096290,CG_teosinte_maize,S17,Nitrate,0.061686
Nitr_Res_With_IBM_For_GWAS,0.044135,-0.009207,0.004344,-0.016935,-0.002732, 0.070685, 0.090290,CG_teosinte_maize,S59,Nitrate,0.019605
Nitr_Res_With_IBM_For_GWAS,0.020207,-0.002376,-0.006241,-0.010059,-0.00215, 0.092350, 0.091732,CG_teosinte_maize,S58,Nitrate,-0.000619000000000001
Nitr_Res_With_IBM_For_GWAS,0.025,0.001201,0.017241,0.005336,-0.009248, 0.048318, 0.087848,CG_teosinte_maize,S44,Nitrate,0.03953
Nitr_Res_With_IBM_For_GWAS,0.00755,0.011893,0.017596,8.8e-05,-0.000816, 0.061996, 0.098305,CG_teosinte_maize,S18,Nitrate,0.036311
Nitr_Res_With_IBM_For_GWAS,0.008768,-0.005417,0.011211,-0.002833,-0.006157, 0.103715, 0.109288,CG_teosinte_maize,S6,Nitrate,0.005572
Nitr_Res_With_IBM_For_GWAS,0.029426,-0.020993,0.011807,-0.018887,0.002881, 0.105845, 0.110080,CG_teosinte_maize,S34,Nitrate,0.004234
Nitr_Res_With_IBM_For_GWAS,0.030919,0.018673,0.006414,0.002007,-0.003332, 0.041432, 0.096112,CG_teosinte_maize,S45,Nitrate,0.054681
Nitr_Res_With_IBM_For_GWAS,0.038682,-0.00518,0.003041,-0.033371,-0.006635, 0.093583, 0.090120,CG_teosinte_maize,S19,Nitrate,-0.00346299999999999
Nitr_Res_With_IBM_For_GWAS,0.041005,0.007158,0.019525,0.010377,-0.006047, 0.026447, 0.098465,CG_teosinte_maize,S60,Nitrate,0.072018
Nitr_Res_With_IBM_For_GWAS,0.026298,0.00052,-0.000183,0.019247,-0.002327, 0.053437, 0.096991,CG_teosinte_maize,S71,Nitrate,0.043555
Nitr_Res_With_IBM_For_GWAS,0.054023,0.006318,-0.009037,0.001073,-0.008741, 0.045641, 0.089277,CG_teosinte_maize,S33,Nitrate,0.043636
Nitr_Res_With_IBM_For_GWAS,-0.006161,0.007319,0.022078,0.026962,-0.003308, 0.042961, 0.089852,CG_teosinte_maize,S2,Nitrate,0.04689
Nitr_Res_With_IBM_For_GWAS,0.026166,0.021643,0.015487,0.017869,-0.004405, 0.016938, 0.093698,CG_teosinte_maize,S30,Nitrate,0.07676
Nitr_Res_With_IBM_For_GWAS,-0.03484,-0.042799,-0.059682,-0.145352,0.063909, 0.139683,-0.079081,CG_teosinte_maize,S35,Nitrate,-0.218764
Nitr_Res_With_IBM_For_GWAS,0.042164,0.014598,0.014952,-0.022376,0.005603, 0.032452, 0.087393,CG_teosinte_maize,S46,Nitrate,0.054941
Nitr_Res_With_IBM_For_GWAS,-0.073017,-0.034233,-0.019615,-0.077523,-0.073932, 0.300771, 0.022452,CG_teosinte_maize,S32,Nitrate,-0.27832
Nitr_Res_With_IBM_For_GWAS,0.028787,0.019235,-0.005949,0.009555,-0.003932, 0.050415, 0.098112,CG_teosinte_maize,S61,Nitrate,0.047696
Nitr_Res_With_IBM_For_GWAS,0.01538,0.018846,0.013961,0.000254,0.008218,0.032889,0.089548,CG_teosinte_maize,S72,Nitrate,0.056659
Nitr_Res_With_IBM_For_GWAS,0.054144,0.002936,0.02433,0.001425,-0.002955, 0.017735, 0.097616,CG_teosinte_maize,S77,Nitrate,0.07988
Nitr_Res_With_IBM_For_GWAS,0.029976,0.006765,0.02503,-0.00102,-0.004359, 0.034213, 0.090605,CG_teosinte_maize,S20,Nitrate,0.056392
Nitr_Res_With_IBM_For_GWAS,0.028709,0.027349,0.015343,-0.011107,-0.008246, 0.046114, 0.098162,CG_teosinte_maize,S31,Nitrate,0.052048
Nitr_Res_With_IBM_For_GWAS,0.005932,0.001712,0.0216,-0.004467,-0.004152, 0.081343, 0.101969,CG_teosinte_maize,S36,Nitrate,0.020625
Nitr_Res_With_IBM_For_GWAS,0.042719,0.021089,-0.001856,-0.015909,-0.003148, 0.057953, 0.100847,CG_teosinte_maize,S47,Nitrate,0.042895
Nitr_Res_With_IBM_For_GWAS,0.000189,0.030734,0.008208,0.008014,-0.001363, 0.051120, 0.096902,CG_teosinte_maize,S76,Nitrate,0.045782
Nitr_Res_With_IBM_For_GWAS,0.025192,-0.02552,-0.004213,-0.021227,-0.023125, 0.195097, 0.146205,CG_teosinte_maize,S62,Nitrate,-0.048893
Nitr_Res_With_IBM_For_GWAS,0.005242,0.02008,0.000557,-0.001847,-0.00339, 0.070231, 0.090873,CG_teosinte_maize,S73,Nitrate,0.020642
