mu,nu,s,Nes,gf,context,type,feature
1.18049076009211e-06,3.06973153874678e-07,5.09704412991514e-06,0.764556619487271,CG_hypo_up,CG,hypo,up
1.20602915135396e-06,3.03475279609253e-07,5.68014303776231e-06,0.852021455664347,CG_hypo_down,CG,hypo,down
8.27255288008236e-07,2.78040123378264e-07,1.37840745270382e-06,0.206761117905572,CG_hypo_gene,CG,hypo,gene
1.11149489512124e-06,2.20275193835317e-07,7.73363611594501e-06,1.16004541739175,CG_hyper_up,CG,hyper,up
1.1813697888296e-06,1.93703459911972e-07,9.11835006607655e-06,1.36775250991148,CG_hyper_down,CG,hyper,down
1.03167960922086e-06,2.11900442021937e-07,8.42942763093286e-06,1.26441414463993,CG_hyper_gene,CG,hyper,gene
2.16108793465069e-06,2.12904200471862e-07,7.12985898165066e-06,1.0694788472476,CHG_hypo_up,CHG,hypo,up
2.27480732985331e-06,2.31606213526378e-07,8.04628964923787e-06,1.20694344738568,CHG_hypo_down,CHG,hypo,down
1.1793467874148e-06,2.17333885877306e-07,2.9457468934749e-11,4.41862034021235e-06,CHG_hypo_gene,CHG,hypo,gene
2.20892603395896e-06,1.71870108074126e-07,1.00129008767694e-05,1.5019351315154,CHG_hyper_up,CHG,hyper,up
2.37773795090769e-06,1.70487004721829e-07,1.1347705502521e-05,1.70215582537815,CHG_hyper_down,CHG,hyper,down
1.46834085754651e-06,2.04586678737513e-07,5.37517160348904e-06,0.806275740523356,CHG_hyper_gene,CHG,hyper,gene
