mu,nu,s,type
1.30559512528457e-06,5.58672378104241e-08,1.41280309789766e-05,CG
2.93528994835948e-06,1.00452008499057e-07,1.57231160388082e-05,CHG
4.35832012973341e-05,1.32690522162011e-07,8.23674955927584e-10,CHH
