f,Freq
0,1045052
1,147432
2,88489
3,64907
4,54764
5,48439
6,44181
7,41959
8,40369
9,39046
10,39367
11,40311
12,42088
13,45223
14,49327
15,55474
16,64814
17,79073
18,100198
19,133007
20,187140
21,236623
22,294156
23,355836
24,425482
25,504811
26,594438
27,693383
28,798599
29,902091
30,1001319
31,1080718
32,1136866
33,1162400
34,1157170
35,1114872
36,1044648
37,941376
38,800813
39,627327
40,399777
