value,type,par,ne
2.02849013282841,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02849013282841,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02849013282841,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02754610956954,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02754610956954,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02783952830183,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0271649858693,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02707335034691,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02684803703726,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02682758655992,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02682758655992,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02682758655992,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02684997990126,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02684997990126,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02684997990126,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02684997990126,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02684997990126,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02684997990126,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683989413552,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683989413552,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683989413552,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683435799657,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683435799657,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683435799657,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683435799657,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683435799657,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683435799657,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02683435799657,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02749009233476,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0288052813978,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0288052813978,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0288052813978,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0288052813978,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02746779249289,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02746779249289,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02781265616736,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0282770037493,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0282770037493,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0282770037493,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.0282770037493,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02732501053906,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02732501053906,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02732501053906,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02732501053906,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02732501053906,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02732501053906,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02795300639295,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02806818370499,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02806818370499,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02793194391343,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02793194391343,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02793194391343,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02793194391343,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02855065368745,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02855065368745,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02810602186544,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02685180285398,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
2.02780447603391,s,cache/mcmc_revise/new_msfs_CG_pops_1e+05_ne.RData,1e+05
