trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
rpravg,0.001921,0.001872,0.008091,-0.008505,-0.006484, 0.245341, 0.242236,CHG_teosinte_landrace,S31,Stalk strength,-0.003105
rpravg,0.021059,0.002773,0.01802,0.003511,0.00506,0.185568,0.235992,CHG_teosinte_landrace,S79,Stalk strength,0.050423
rpravg,-0.009027,0.007255,-0.008265,-0.021606,-0.007886, 0.263706, 0.224178,CHG_teosinte_landrace,S16,Stalk strength,-0.039529
rpravg,-0.056225,-0.051567,-0.007057,-0.019521,-0.052936, 0.396505, 0.209199,CHG_teosinte_landrace,S63,Stalk strength,-0.187306
rpravg,0.06027,0.00391,-0.006228,-0.004782,-0.009592, 0.192973, 0.236552,CHG_teosinte_landrace,S9,Stalk strength,0.043578
rpravg,0.008502,0.028445,-0.003503,0.002006,-0.006166, 0.214690, 0.243974,CHG_teosinte_landrace,S48,Stalk strength,0.029284
rpravg,0.093042,-0.046234,-0.013943,-0.036535,-0.056253, 0.092132, 0.032209,CHG_teosinte_landrace,S95,Stalk strength,-0.059923
rpravg,-8.4e-05,-0.003633,0.008808,-0.008264,0.013794, 0.233086, 0.243706,CHG_teosinte_landrace,S32,Stalk strength,0.010621
rpravg,0.053543,-0.008056,0.02987,0.076331,-0.019962, 0.050635, 0.182362,CHG_teosinte_landrace,S8,Stalk strength,0.131726
rpravg,0.048985,0.01385,0.002376,0.024739,-0.008292, 0.178650, 0.260307,CHG_teosinte_landrace,S17,Stalk strength,0.081658
rpravg,0.031577,-0.001016,0.009996,-0.005351,-0.001243, 0.214260, 0.248223,CHG_teosinte_landrace,S64,Stalk strength,0.033963
rpravg,0.038026,0.030446,0.002221,0.00533,-0.001582, 0.180842, 0.255283,CHG_teosinte_landrace,S90,Stalk strength,0.074441
rpravg,0.012981,-0.009499,0.011599,-0.010051,-0.003912, 0.246714, 0.247831,CHG_teosinte_landrace,S49,Stalk strength,0.001118
rpravg,0.025426,0.009718,0.011396,-0.021473,-0.003733, 0.205494, 0.226827,CHG_teosinte_landrace,S96,Stalk strength,0.021334
rpravg,-0.00146,0.00917,0.034322,0.028778,0.000374, 0.182171, 0.253354,CHG_teosinte_landrace,S33,Stalk strength,0.071184
rpravg,-0.004673,-0.049072,-0.025138,-0.017308,-0.00125, 0.157795, 0.060353,CHG_teosinte_landrace,S80,Stalk strength,-0.097441
rpravg,-0.04252,-0.133151,-0.019165,0.055593,-0.014261, 0.403169, 0.249665,CHG_teosinte_landrace,S18,Stalk strength,-0.153504
rpravg,0.074106,-0.005914,-0.000385,0.027603,0.007587, 0.128720, 0.231717,CHG_teosinte_landrace,S65,Stalk strength,0.102997
rpravg,0.006234,-0.002618,0.006009,0.003565,-0.005804, 0.230458, 0.237843,CHG_teosinte_landrace,S91,Stalk strength,0.007386
rpravg,-0.001995,0.019635,-0.000915,0.00887,-0.019304, 0.228181, 0.234473,CHG_teosinte_landrace,S5,Stalk strength,0.006291
rpravg,0.045173,-0.001286,-0.005084,-0.005791,0.000737, 0.201472, 0.235221,CHG_teosinte_landrace,S97,Stalk strength,0.033749
rpravg,0.006198,0.003026,-0.006222,-0.014362,0.011555, 0.238279, 0.238474,CHG_teosinte_landrace,S34,Stalk strength,0.000194999999999999
rpravg,-0.004054,0.044069,0.008458,0.005586,0.007542, 0.181653, 0.243253,CHG_teosinte_landrace,S81,Stalk strength,0.061601
rpravg,0.010103,-0.011987,0.021852,-0.059695,-0.035221, 0.372511, 0.297563,CHG_teosinte_landrace,S19,Stalk strength,-0.074948
rpravg,-0.002855,0.009878,-0.000467,0.016957,0.001346, 0.222468, 0.247327,CHG_teosinte_landrace,S66,Stalk strength,0.024859
rpravg,0.019966,-0.001809,-0.005054,0.002653,0.006301, 0.216920, 0.238977,CHG_teosinte_landrace,S92,Stalk strength,0.022057
rpravg,-0.000321,0.006946,0.000912,-0.008007,-0.007241, 0.244639, 0.236928,CHG_teosinte_landrace,S50,Stalk strength,-0.007711
rpravg,-0.01394,-0.030984,-0.016076,-0.010572,-0.017399, 0.268362, 0.179391,CHG_teosinte_landrace,S98,Stalk strength,-0.088971
rpravg,0.011333,-0.003844,0.012783,0.009982,-0.000399, 0.214477, 0.244331,CHG_teosinte_landrace,S35,Stalk strength,0.029855
rpravg,0.098341,0.021485,0.001703,-0.003153,0.004456, 0.138325, 0.261156,CHG_teosinte_landrace,S82,Stalk strength,0.122832
rpravg,0.040942,-0.004139,0.046629,0.025725,0.002481, 0.120053, 0.231690,CHG_teosinte_landrace,S2,Stalk strength,0.111638
rpravg,-0.013415,-0.059471,0.002316,-0.058198,-0.024783, 0.381397, 0.227846,CHG_teosinte_landrace,S67,Stalk strength,-0.153551
rpravg,0.005187,-0.00364,0.016163,0.004466,0.006332, 0.206319, 0.234827,CHG_teosinte_landrace,S93,Stalk strength,0.028508
rpravg,0.029917,-0.005702,0.004987,0.012708,-0.007686, 0.216443, 0.250668,CHG_teosinte_landrace,S51,Stalk strength,0.034224
rpravg,-0.002693,-0.004049,0.03284,0.014323,0.00732, 0.215664, 0.263405,CHG_teosinte_landrace,S99,Stalk strength,0.047741
