mu,nu,s
1.29076892022606e-06,6.14342616346356e-08,1.36696525862993e-05
2.7928457931094e-06,1.04705412005277e-07,1.49897145592057e-05
4.52083631673166e-05,1.37610984787542e-07,8.60295202914731e-10
