mn,sd,med,type,par,ne,context,ft
6.59234209169055,0.00067536872078178,6.59234721361373,mu,cache/mcmc_revise/features/gf_sfs_interpop_CG_gene_5e+05_ft.RData,5e+05,CG,gene
0.281070956928573,0.00351515745042408,0.281051534440951,s,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_1e+05_ft.RData,1e+05,CG,three
6.18948295525504,0.00184210534373446,6.18945948598925,nu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_1e+05_ft.RData,1e+05,CG,three
5.82862580180295,0.00189151010979803,5.82855452195368,mu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_1e+05_ft.RData,1e+05,CG,three
0.281252092694031,0.00345690073255703,0.281137179857504,s,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_1e+06_ft.RData,1e+06,CG,three
7.18961855057367,0.00190042154237125,7.18957434107347,nu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_1e+06_ft.RData,1e+06,CG,three
6.82854772592063,0.00180523221083598,6.82848561198252,mu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_1e+06_ft.RData,1e+06,CG,three
0.281245306330401,0.00356420422225374,0.281228075437676,s,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_50000_ft.RData,50000,CG,three
5.88852994122575,0.00192914210374569,5.88853054381618,nu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_50000_ft.RData,50000,CG,three
5.52752935526874,0.00186818769058282,5.52753788427543,mu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_50000_ft.RData,50000,CG,three
0.281360847982247,0.00341980921490134,0.281314620980783,s,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_5e+05_ft.RData,5e+05,CG,three
6.88855860410158,0.0018376612431977,6.88854593295948,nu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_5e+05_ft.RData,5e+05,CG,three
6.52744676555953,0.00183188819934049,6.52738436878237,mu,cache/mcmc_revise/features/gf_sfs_interpop_CG_three_5e+05_ft.RData,5e+05,CG,three
0.0840610395212249,0.00231818035937998,0.0839640721452919,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_1e+05_ft.RData,1e+05,CHG,Cexon
6.5244720326367,0.000931091826795523,6.52444283779545,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_1e+05_ft.RData,1e+05,CHG,Cexon
5.76888155059957,0.00159470962777756,5.76892240370053,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_1e+05_ft.RData,1e+05,CHG,Cexon
0.084201352161754,0.0021899714837802,0.0842727406633464,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_1e+06_ft.RData,1e+06,CHG,Cexon
7.52451453799705,0.000931742659490876,7.52449593351205,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_1e+06_ft.RData,1e+06,CHG,Cexon
6.76879657622488,0.00151692373950484,6.76875510348947,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_1e+06_ft.RData,1e+06,CHG,Cexon
0.0839688131162655,0.00233694494299157,0.083829275894674,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_50000_ft.RData,50000,CHG,Cexon
6.22339941295508,0.000902886348709145,6.2233641377068,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_50000_ft.RData,50000,CHG,Cexon
5.46789396063671,0.00164249245099158,5.46794086882866,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_50000_ft.RData,50000,CHG,Cexon
0.0841527691583104,0.00227915018151502,0.0841944215146499,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_5e+05_ft.RData,5e+05,CHG,Cexon
7.22344615179798,0.000933617150690132,7.22336152618001,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_5e+05_ft.RData,5e+05,CHG,Cexon
6.46778805554719,0.00152353261067304,6.46767305924718,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_exon_5e+05_ft.RData,5e+05,CHG,Cexon
0.000198204255657302,0.00020117037707679,0.000112202366463669,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_1e+05_ft.RData,1e+05,CHG,Cfive
6.45731334267083,0.00129479705753104,6.45733976832143,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_1e+05_ft.RData,1e+05,CHG,Cfive
5.73423335145848,0.00168050053826529,5.73417933260633,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_1e+05_ft.RData,1e+05,CHG,Cfive
0.000206369357055677,0.00021730523393244,0.000112144168233414,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_1e+06_ft.RData,1e+06,CHG,Cfive
7.4573871589339,0.00135373131185047,7.45737857551943,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_1e+06_ft.RData,1e+06,CHG,Cfive
6.73422993578553,0.00173467693143084,6.73415652747103,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_1e+06_ft.RData,1e+06,CHG,Cfive
0.000196818820981898,0.000202317063807004,0.000109161939739319,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_50000_ft.RData,50000,CHG,Cfive
6.15637728124888,0.00139142080289639,6.15637940541368,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_50000_ft.RData,50000,CHG,Cfive
5.43326245960747,0.00180788643108605,5.43322347598053,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_50000_ft.RData,50000,CHG,Cfive
0.000207038461135834,0.000211642500717702,0.000116414714913638,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_5e+05_ft.RData,5e+05,CHG,Cfive
7.15631657974567,0.00136836034554199,7.15630897228333,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_5e+05_ft.RData,5e+05,CHG,Cfive
6.43319531552168,0.00176498334255932,6.4331756675227,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_five_5e+05_ft.RData,5e+05,CHG,Cfive
0.370402537784638,0.00146628811352114,0.37046930500752,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_1e+05_ft.RData,1e+05,CHG,Cgene
6.50865575199609,0.000706259896351119,6.50866824669817,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_1e+05_ft.RData,1e+05,CHG,Cgene
5.74415120705925,0.00084282891885492,5.7441472034777,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_1e+05_ft.RData,1e+05,CHG,Cgene
0.370627610490079,0.00157138168006989,0.370667023782885,s,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_1e+06_ft.RData,1e+06,CHG,Cgene
7.50871971626533,0.000769370535581929,7.50873577594787,nu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_1e+06_ft.RData,1e+06,CHG,Cgene
6.74403803948807,0.000893683796277454,6.74404657034336,mu,cache/mcmc_revise/features/gf_sfs_interpop_CHG_gene_1e+06_ft.RData,1e+06,CHG,Cgene
