Chr	Pos	CHG_AMES-8235	CHG_PI-620767	CHG_PI-620773	CHG_PI-620774	CHG_PI-620784	CHG_PI-620785	CHG_PI-620797	CHG_PI-620819	CHG_PI-620821	CHG_PI-620834	CHG_PI-620842	CHG_PI-620846	CHG_PI-620856	CHG_PI-620859	CHG_PI-620860	CHG_PI-628503	CHG_PI-628514
1	500000.5	0.720456423948192	0.660735177549378	0.716838506089369	0.681631203259889	0.712370668721901	0.700717879700161	0.719178617909367	0.715922784133587	0.692564487781658	0.699203365409252	0.715679319388269	0.71500061306648	0.713779876542371	0.678211107605295	0.69411620635402	0.714468214004324	0.694446766814927
1	1500000.5	0.74547901788434	0.691462082810884	0.734626201657941	0.701152833537774	0.732796625666364	0.721492707681586	0.733656844027756	0.72417791585955	0.71459313470322	0.71630864300306	0.729187250117705	0.728298470042572	0.735411398623557	0.699893642185018	0.710319367950784	0.724329653880618	0.715811728893307
1	2500000.5	0.622576098365273	0.544539404297521	0.615401847559032	0.572753005400937	0.612945305666792	0.554122131297575	0.609218129470167	0.615345238679354	0.564016337740953	0.602120627497055	0.589851898024567	0.569035174585347	0.609312718496462	0.587319755664708	0.623095323543957	0.58858816536038	0.601927715923536
1	3500000.5	0.574637836435226	0.499606367184195	0.56560446575492	0.545800390134984	0.544559070743184	0.530500957444285	0.550596815170389	0.558162028637272	0.529976841769452	0.500832814093402	0.599283706556928	0.544921056972316	0.55191592734763	0.536806523364879	0.558677216271553	0.544010406159859	0.557718497650163
1	4500000.5	0.595546299939552	0.563406074630465	0.613733869624765	0.573024131386787	0.561722217968644	0.610588602208632	0.59868311060815	0.602642683489772	0.568112899087715	0.574662077249807	0.613846532947869	0.586995978791217	0.567322081040397	0.550863354377781	0.612733181350087	0.591657617928355	0.582923125411983
1	5500000.5	0.56822812046037	0.525106977520771	0.556816749549869	0.544623154849605	0.558745097030582	0.552655911714312	0.583349561376889	0.569764018129775	0.575112812421379	0.57386563112618	0.589946360694802	0.555050591616773	0.54168786532361	0.522380967105632	0.570959576816892	0.525684286944593	0.522942660175661
1	6500000.5	0.628401959846751	0.572875268934697	0.640749291144798	0.554348989295848	0.623136633291501	0.597006256660319	0.633062223795618	0.615458742025161	0.639960004559407	0.599071053783261	0.629207624221071	0.591789758447503	0.602593016147521	0.607579962000383	0.617420679438443	0.598589229234638	0.587145488399099
1	7500000.5	0.604493866302873	0.582494425302085	0.627681322540917	0.576150368116234	0.602155962381214	0.613611548039964	0.632699293048211	0.61777972411529	0.582604598477146	0.595134068724828	0.632579427793596	0.612802436303111	0.636799208636585	0.597402104294293	0.603072580529177	0.630824382572536	0.601008370581155
1	8500000.5	0.579164990553857	0.547157028095934	0.627372292874567	0.571914130266116	0.585917245087241	0.596060634666821	0.597524956384391	0.575975863221717	0.588931120603701	0.583502767221774	0.634757130085041	0.578350856669157	0.604397383972036	0.574892329263474	0.58278719618239	0.57640497332061	0.575987523128019
1	9500000.5	0.611593276085589	0.571559496349625	0.592510361301962	0.554370984290749	0.575029702279652	0.609360923048827	0.615681184917358	0.625056757488181	0.603998958557257	0.606023779630337	0.624555708741242	0.589078360144462	0.552746491597864	0.553892001021533	0.600762502859867	0.597307186008309	0.604636658540391
1	10500000.5	0.666326070722477	0.608735507160951	0.647602821919072	0.63056149138011	0.635158785008042	0.64651353665552	0.665399909379463	0.660579591352685	0.615854668994916	0.649773627448167	0.63953278665489	0.654017512000111	0.658253438004002	0.632256504089856	0.628602821430571	0.645838581759351	0.64438136042417
1	11500000.5	0.687113232231432	0.618041127562597	0.682082107646373	0.647071503962425	0.669049281509625	0.659340012597383	0.650765233214209	0.680141958424418	0.649008294952938	0.660564953390973	0.671813128320699	0.651141964593404	0.667396731225047	0.629672664460649	0.666176533307136	0.667922376490624	0.612029715521835
1	12500000.5	0.585820456718669	0.514964095780681	0.59100383367903	0.564477039029675	0.597243371039951	0.581298628517267	0.581323246901173	0.613943958418703	0.589092271337267	0.598422187676254	0.628698089462871	0.58198195256896	0.590224107709134	0.535019755235086	0.581517700352555	0.588791296404923	0.579124066225704
1	13500000.5	0.627366899695183	0.555071997486617	0.600280556722704	0.570029481399673	0.600719723035146	0.594003939025882	0.611259983422823	0.591758661374749	0.571951627442649	0.601899860033909	0.616457300953079	0.603970865030319	0.627470913219103	0.582005794115318	0.582140610422506	0.60837560788617	0.583483477505702
1	14500000.5	0.675182257894808	0.617005429133624	0.687592550005371	0.620095161278601	0.65347191284459	0.651720472963884	0.68013639797267	0.647666316880989	0.65807409574504	0.652072723755632	0.667335500115776	0.66196218909588	0.662735392124395	0.629346396922745	0.662146978537819	0.651682173082597	0.648881844614267
1	15500000.5	0.650122944024192	0.581290612899806	0.655135059290308	0.626609506394694	0.615916595954055	0.633108211887693	0.630226525583226	0.628461168535353	0.617303006094771	0.613903537287642	0.67319088753301	0.627594623915419	0.669623984211629	0.58740141107882	0.653205875110782	0.664838827525472	0.607454503680229
1	16500000.5	0.672549129699317	0.618614148047619	0.651992816129678	0.623650724153119	0.665222965563737	0.635448924027591	0.649479933055197	0.66608426012139	0.621695830580142	0.609383799170241	0.622668674929725	0.663955078950811	0.652452800407966	0.632268397167909	0.64918772306051	0.578140472341837	0.604928043157324
1	17500000.5	0.659751303846507	0.62694870186989	0.664471014533087	0.655850664700908	0.654813701544228	0.641941556077297	0.669290382921387	0.638662323959449	0.662500925212646	0.651321751265361	0.661862518736842	0.687361604102627	0.663813810740115	0.638252873591121	0.653824558211661	0.687330863123228	0.632374614732722
