Chr	Pos	CpG_AMES-8235	CpG_PI-620767	CpG_PI-620773	CpG_PI-620774	CpG_PI-620784	CpG_PI-620785	CpG_PI-620797	CpG_PI-620819	CpG_PI-620821	CpG_PI-620834	CpG_PI-620842	CpG_PI-620846	CpG_PI-620856	CpG_PI-620859	CpG_PI-620860	CpG_PI-628503	CpG_PI-628514
1	500000.5	0.855119022614537	0.831177959580089	0.858752202087793	0.846060283247054	0.840591379384525	0.842056146191432	0.859405805785376	0.846650967352714	0.843550292596913	0.846872671695858	0.860492360519931	0.852677224900096	0.845738476073588	0.824250576043665	0.831461141787685	0.848344270141131	0.838575038104499
1	1500000.5	0.856118926439785	0.83365643668155	0.851682872901251	0.843638210931692	0.849041183478705	0.841887539688024	0.850539074123141	0.842956313915274	0.852029204582526	0.838980194955225	0.855168611381661	0.848602779684523	0.851042865854412	0.82126740931179	0.831715963008123	0.8411370765135	0.841780265812912
1	2500000.5	0.780130305226254	0.742920708906252	0.770950972166278	0.773287700334873	0.775071205869389	0.744789695510317	0.766017333819735	0.78513422053664	0.756001018788656	0.777531062639437	0.783657926405722	0.737600704596814	0.777724882066665	0.757128266822901	0.766900706296728	0.763219464816733	0.773270182170341
1	3500000.5	0.717222201668219	0.672403355023977	0.712431723445322	0.714551818348246	0.69677900545877	0.690215387111671	0.686589159954876	0.705129012590826	0.704629927411674	0.67021192486326	0.762430250043803	0.692039487376757	0.702852423433992	0.691075110721776	0.689771011702578	0.689135242475087	0.713435962772214
1	4500000.5	0.737416583750506	0.741281779060958	0.75189218401637	0.749988586842448	0.710445815453375	0.762682267074914	0.73273663567605	0.742090479529833	0.736320223957684	0.729905913027105	0.778678863784223	0.722506128872286	0.715419973609618	0.696844246358481	0.742770409349865	0.735540731677452	0.736982531638624
1	5500000.5	0.704845811451681	0.685733539655503	0.690270100181896	0.70063962583349	0.692209568992708	0.697139586697411	0.711902793883678	0.69532915930758	0.72916023387385	0.724199761480615	0.739653739831709	0.686259213687439	0.680000805084748	0.660971753410111	0.698310271924336	0.656263693726698	0.669447728290597
1	6500000.5	0.759118457368796	0.742903728621251	0.76598562146691	0.735154665697922	0.76650689248981	0.737797308337313	0.768985551716671	0.749108272764572	0.796446348638779	0.755893543059977	0.794886012448477	0.736681449828545	0.735621303476144	0.74161325907549	0.754337503412709	0.725954700224471	0.739498722293761
1	7500000.5	0.720258746681646	0.723930205088473	0.746992232896475	0.71515025665274	0.717621083886814	0.743604663375067	0.756446530113066	0.735612857449864	0.719528824698841	0.716018214770745	0.760552205762979	0.736193830847815	0.749791594695269	0.724262598249031	0.725166801450601	0.745824972283553	0.735305310599446
1	8500000.5	0.683172658996295	0.670651748246767	0.738931849531049	0.703620012455351	0.690124715791909	0.704730953930015	0.706724332588132	0.682320774545482	0.705035129594857	0.694488960626574	0.744705191574123	0.680170840276744	0.709240926796061	0.686850972433907	0.686654368717871	0.679321752093391	0.702061047047489
1	9500000.5	0.71434521933091	0.722520214047415	0.732985650056556	0.697793644731331	0.69759716705114	0.734964840969454	0.727301991667487	0.752420513618279	0.743144815736689	0.739467659752181	0.764002200698848	0.719962108787037	0.691949507377371	0.677593031215753	0.717169145931253	0.715421245565666	0.745870557101781
1	10500000.5	0.815367247991398	0.784860283281388	0.793912178076723	0.803872260705374	0.785195857773074	0.802108602331545	0.802942515381478	0.801567363620045	0.782554188955731	0.812516188787131	0.803559530341719	0.794510497207027	0.801773771652639	0.784442433229644	0.77210304677859	0.789258453394954	0.799500705064385
1	11500000.5	0.813036832739672	0.783587327628231	0.817785282087933	0.803184734304371	0.804627629503617	0.79823971924463	0.780838141101587	0.807435948510756	0.798325669788576	0.805671742741634	0.821173999282533	0.781273926213155	0.801570897012582	0.766205414672057	0.797855983401506	0.803613478187671	0.759647349944108
1	12500000.5	0.722334591161082	0.687394223239382	0.738376366803119	0.721981496766319	0.728408216214149	0.720763352123129	0.706916611262696	0.749257937546322	0.734786067172369	0.74875594007445	0.769690453929695	0.717647464148538	0.723936776014297	0.679023732601763	0.709569645039175	0.728204492181844	0.722426051670509
