Chr	Pos	CHG_A632	CHG_B37	CHG_B73	CHG_B97	CHG_CML322	CHG_HP301	CHG_IL14	CHG_LH123HT	CHG_LH82	CHG_Mo17	CHG_Oh43	CHG_P39	CHG_PHZ51	CHG_Tx303
1	500000.5	0.62269733868021	0.648850970513577	0.710064769496009	0.601857075215739	0.667217535595935	0.663130148799038	0.654087998613386	0.640756086119913	0.671700863607282	0.651720389689231	0.682540734956397	0.649027424672937	0.668036147971536	0.65474591428307
1	1500000.5	0.650962478917887	0.666183082599885	0.724444472058346	0.612623456824229	0.681021608161605	0.67158985330318	0.659541023737926	0.656282446018684	0.68224634870418	0.659663521106964	0.685287921085907	0.652206042890033	0.688421852979726	0.668411583608159
1	2500000.5	0.577398765895387	0.562614579233498	0.666051916802965	0.51700754812513	0.536028112473188	0.576794859270002	0.510464773261545	0.567985322403988	0.605321465522233	0.55972422606093	0.592425897990014	0.508903157812154	0.62422165154919	0.521077518754845
1	3500000.5	0.481090261944037	0.525083679638659	0.598151551266711	0.499242406818888	0.515948380074336	0.513565272440028	0.450383473861563	0.494322759612676	0.518254578145354	0.492680697633959	0.498253118163804	0.430790918849571	0.509197982501927	0.48942994466569
1	4500000.5	0.481622180670784	0.560877603117516	0.633272232146323	0.477251522259908	0.535003021302824	0.504153079372832	0.484659947763932	0.538426110969228	0.554288291026145	0.528552816013235	0.541023202398363	0.504083584147139	0.564161321626341	0.546595941997067
1	5500000.5	0.443973323054161	0.537879023827835	0.594372774281918	0.45478562555532	0.499667869426488	0.517027720385185	0.49149715219844	0.51982797976068	0.513993771942033	0.489216019002994	0.516387395947355	0.481222529879665	0.556749890215439	0.475737831434306
1	6500000.5	0.507124646790536	0.599603753139296	0.653564649268655	0.511717349198419	0.532956508971321	0.554278763474397	0.535164318480642	0.563276064928363	0.602644002082365	0.505248092908076	0.601360169257738	0.537583240262273	0.56504937008709	0.547844353646817
1	7500000.5	0.516413933993754	0.57770413559484	0.643257101244149	0.552431581170527	0.550719783769625	0.536997542247382	0.535824006792007	0.52049221058045	0.563734989627598	0.551496360611314	0.563697972217517	0.512222113681439	0.593532076200508	0.55677937878381
1	8500000.5	0.511454120668368	0.523074318697421	0.644886097116034	0.521139325746203	0.559355802779909	0.522893565350387	0.511445211967479	0.486797761438302	0.557465888716552	0.535647036683142	0.561324494500094	0.52782994890906	0.597713378661058	0.556362656246575
1	9500000.5	0.475692236011725	0.523553185860964	0.64086643075198	0.488477511215135	0.543014769785667	0.537419474453069	0.552452313067918	0.54547305604928	0.528664490228624	0.536011429979447	0.557396364089302	0.527115967171873	0.584416055778357	0.55929183252619
