Gen	Landrace	Maize	Teosinte	mea
Zm00001d000462	0	0.0279143772893773	0.0830001139211666	0.0369714970701813
Zm00001d000463	0	0.00503663003663005	0.00758680555555556	0.00420781186406187
Zm00001d000464	0.00238095238095238	0.0017707311757655	0.0117206194071832	0.00529076765463369
Zm00001d000466	0	0.0081547619047619	0.00933641975308642	0.00583039388594944
Zm00001d000468	0.002398764026671	0.00239608854081817	0.0218697786131997	0.00888821039356296
Zm00001d000469	0.00712465171028414	0.00155100261023275	0.000297619047619048	0.00299109112271198
Zm00001d000470	0.0138888888888889	0	0.361264957264957	0.125051282051282
Zm00001d000473	0.115529843155398	0.163323985046803	0.0729523645912637	0.117268730931155
Zm00001d000474	0.0036231884057971	0.00140651789170953	0	0.00167656876583554
Zm00001d000475	0.00515240026242266	0.00393737732958264	0.00267645638267462	0.00392207799155997
Zm00001d000478	0.00553355957767722	0.00173806095494857	0.00899741158751765	0.00542301070671448
Zm00001d000479	0.0769230769230769	0.338323500859548	0.387465861124817	0.267570812969147
Zm00001d000482	0	0.000915750915750915	0.00083487940630798	0.000583543440686298
Zm00001d000484	0	0.113354700854701	0.172700751434995	0.0953518174298987
Zm00001d000485	0.106865360595199	0.0945505506717817	0.0799671135652793	0.0937943416107533
Zm00001d000486	0.00793650793650793	0.0342230597038289	0.00911057941695197	0.0170900490190963
Zm00001d000487	0.00666666666666666	0.0270550511595833	0.347222222222222	0.126981313349491
Zm00001d000488	0.00240384615384615	0.00222615182436611	0.00262731481481482	0.00241910426434236
Zm00001d000490	0.00138888888888889	0.00800229761195707	0.00870637014405663	0.0060325188816342
Zm00001d000491	0	0.00437096491018059	0.00241101953601953	0.00226066148206671
Zm00001d000492	0.0350198462252033	0.00247944634794955	0.00251523083123253	0.0133381744681285
Zm00001d000493	0.000324675324675325	0.00379154989406395	0.000965526916676341	0.00169391737847187
Zm00001d000494	0.0011438127090301	0.00644974404925752	0.00219121798749748	0.00326159158192837
Zm00001d000495	0.000427350427350428	0.00207078753987069	0.00238830434593334	0.00162881410438482
Zm00001d000496	0.00239383632240775	0.0048511875496987	0.00275915404040404	0.00333472597083683
Zm00001d000501	0.0097677496114996	0.00368966830776003	0.00182157458943173	0.00509299750289712
Zm00001d000502	0.0635823069356256	0.0840474163453333	0.0818280209291635	0.0764859147367075
Zm00001d000503	0.0235227625380924	0.0691512655581474	0.058083231139693	0.0502524197453109
Zm00001d000504	0.389945454523765	0.477166381738431	0.530729950255387	0.465947262172528
Zm00001d000506	0.00259103641456582	0.00393792438112222	0.00379069818754388	0.00343988632774397
Zm00001d000508	0.525215704543231	0.424448496527502	0.203239437355068	0.3843012128086
Zm00001d000509	0.0212566844919786	0.0355792962831793	0.0139841315154195	0.0236067040968591
Zm00001d000511	0.184047240369883	0.0648873791457524	0.0843306642437383	0.111088427919791
Zm00001d000515	0.025	0.0126038465473086	0.0249339310960996	0.0208459258811361
Zm00001d000521	0.00248844623844623	0.00198763839440865	0.00937485320205513	0.00461697927830334
Zm00001d000522	0.0026934514891832	0.00179496648954419	0.00179522996298442	0.00209454931390394
Zm00001d000523	0.0867238609130661	0.0462033162379772	0.0414514434851351	0.0581262068787261
Zm00001d000524	0.00472808441558442	0.00137514978776178	0.00213837266298497	0.00274720228877706
Zm00001d000525	0.130346028205628	0.0808016697127012	0.0772256853652755	0.0961244610945349
Zm00001d000526	0.0244008386155189	0.075504571915733	0.0214618110321451	0.0404557405211323
Zm00001d000528	0.0082807239057239	0.0147350758623191	0.0127387467615078	0.0119181821765169
Zm00001d000529	0.452163547937057	0.483539762414915	0.47454754741606	0.470083619256011
Zm00001d000531	0.0218253968253968	0.00396144259780624	0.00253679962013295	0.00944121301444533
Zm00001d000532	0.154648535981831	0.0125292449122357	0.229353341111555	0.132177040668541
Zm00001d000534	0.511458333333333	0.346036394278618	0.494290122742038	0.450594950117996
Zm00001d000535	0.124540441176471	0.0396195650227908	0.666320635221025	0.276826880473429
Zm00001d000536	0.0306944444444444	0.0254712301587302	0.0593688371813372	0.0385115039281706
Zm00001d000541	0.534924004667398	0.503659634497781	0.416301107469577	0.484961582211585
Zm00001d000544	0.00645384683361884	0.00565226339124906	0.0047679186040897	0.0056246762763192
Zm00001d000545	0.436444805526771	0.504032097393576	0.486748193153434	0.47574169869126
Zm00001d000546	0.561459845520166	0.372489094653544	0.346186236334528	0.426711725502746
Zm00001d000551	0.0540019531897654	0.0821992379696831	0.0416659237563465	0.059289038305265
Zm00001d000555	0.0263583088429503	0.0581657880819305	0.92720584212378	0.33724331301622
Zm00001d000558	0.250957325525319	0.327992118403471	0.835877525367011	0.471608989765267
Zm00001d000562	0.205517502452558	0.31002764558988	0.0311613604287628	0.182235502823734
Zm00001d000564	0.174135440101548	0.00309500360683167	0.394671913904454	0.190634119204278
Zm00001d000566	0.40982694316983	0.452791147172341	0.458467933808418	0.440362008050196
Zm00001d000568	0.136914815497223	0.128954306617356	0.522798634616161	0.26288925224358
Zm00001d000573	0.00396825396825397	0.0150384337884338	0.00790195384373846	0.00896954720014208
Zm00001d000574	0.00340378084236863	0.00222401088436411	0.00727478429790002	0.00430085867487759
Zm00001d000579	0.214369111435997	0.337578447193832	0.262896517769383	0.271614692133071
Zm00001d000580	0.0382243241211828	0.0563462549447318	0.219468253043315	0.104679610703077
Zm00001d000582	0.0247653762359645	0.000477783086478739	0.0017328477443609	0.00899200235560138
Zm00001d000583	0.00297619047619048	0.00331864523122844	0.827753348718266	0.278016061475228
Zm00001d000585	0.466467013888889	0.494717649027112	0.511720039918169	0.490968234278057
Zm00001d000586	0.0416666666666667	0.0390192077991122	0.0356965911696949	0.0387941552118246
Zm00001d000588	0	0.00969215969215968	0.390537240537241	0.133409800076467
Zm00001d000589	0.11734693877551	0.310842971791341	0.250371408488413	0.226187106351755
Zm00001d000592	0.0145927372516001	0.00485701655803369	0.00299500992437026	0.00748158791133468
Zm00001d000593	0.253468994310008	0.38811028678171	0.756418332824376	0.465999204638698
Zm00001d000596	0.0427929822291235	0.357924290886247	0.94347100299147	0.44806275870228
Zm00001d000597	0.00827300150829562	0.013673920620853	0.0157367914657263	0.0125612378649583
Zm00001d000598	0.062801067572573	0.00274812687312687	0.00314237030785308	0.0228971882511843
Zm00001d000605	0.293207629710923	0.30221272484077	0.471971722839906	0.355797359130533
Zm00001d000606	0	0.00262896825396826	0.0321731701940036	0.0116007128159906
Zm00001d000607	0.364397820059924	0.112921917872723	0.941881550363657	0.473067096098768
Zm00001d000612	0.287362216654568	0.437182021607425	0.223183622682903	0.315909286981632
Zm00001d000613	0.0406850239977988	0.0478927555440565	0.564306185051986	0.217627988197947
Zm00001d000616	0.197883597883598	0.14258907208312	0.501570782185395	0.280681150717371
Zm00001d000617	0.00505050505050504	0.00838293650793651	0.00125	0.00489448051948052
Zm00001d000618	0.00198412698412699	0.00256828053029033	0.111640224358974	0.0387308772911304
Zm00001d000619	0.0691174495794061	0.172774421370492	0.374426339968631	0.20543940363951
Zm00001d000620	0.150641025641026	0.294328703703704	0.322677404295051	0.255882377879927
Zm00001d000623	0	0.0174501424501425	0.00916919191919192	0.00887311145644481
Zm00001d000624	0.498395061728395	0.497071534396393	0.482183918570784	0.492550171565191
Zm00001d000626	0.0523809523809524	0.00382578935210514	0.643613866036454	0.233273535923171
Zm00001d000627	0	0.00659361471861471	0.153235653235653	0.0532764226514226
Zm00001d000628	0.00154356060606061	0.00289286099470914	0.0190355281575116	0.00782398325276045
Zm00001d000629	0.00331722756380291	0.00335287785429864	0.00577446628345913	0.00414819056718689
Zm00001d000632	0.249460212681017	0.176702121344643	0.516280254244185	0.314147529423282
Zm00001d000636	0.392592592592593	0.2737713718261	0.16056430856743	0.275642757662041
Zm00001d000640	0.0123737373737374	0.00198244284451181	0.00973927642405903	0.00803181888076941
Zm00001d000641	0.0382936507936508	0.0173160173160174	0.0562592847612197	0.0372896509569626
Zm00001d000642	0.00213744588744589	0.00477114541912336	0.00330769230769231	0.00340542787142052
Zm00001d000643	0	0.00262832405689548	0.00386000554067781	0.00216277653252443
Zm00001d000646	0.00277114190157668	0.00675199295572441	0.00105219791114875	0.00352511092281661
Zm00001d000647	0	0.0063692480359147	0.0140161483253589	0.00679513212042453
Zm00001d000650	0.0151515151515152	0.00154856658110399	0.00645847419427541	0.0077195186422982
Zm00001d000651	0.00952380952380952	0.00144769446240035	0	0.00365716799540329
Zm00001d000652	0.52726381145736	0.391936750122312	0.389884304030076	0.436361621869916
Zm00001d000654	0.00831872229151531	0.00531771269262494	0.0118083182945573	0.00848158442623252
Zm00001d000655	0.00343632402455932	0.00299248857887302	0.00146846018602177	0.00263242426315137
Zm00001d000658	0.00409986902338433	0.00186056699861291	0.00203164709908131	0.00266402770702618
Zm00001d000659	0.0037000773963907	0.00281279283084708	0.00113774249478636	0.00255020424067471
Zm00001d000660	0	0.00318061568061568	0.00115740740740741	0.0014460076960077
Zm00001d000661	0.00602617079889807	0.00683879169076537	0.00078125	0.00454873749655448
Zm00001d000662	0	0.00321689198986993	0.00381152009441483	0.00234280402809492
Zm00001d000663	0.0212310367964855	0.485216172500365	0.84653350494049	0.450993571412447
Zm00001d000664	0.0978454415954416	0.00958333333333333	0.106060606060606	0.0711631269964603
Zm00001d000665	0.00350752068110412	0.0037970213427451	0.0141635154061625	0.00715601914333724
Zm00001d000666	0.395833333333333	0.175833333333333	0.0123456790123457	0.194670781893004
Zm00001d000669	0.00173611111111111	0.0044231592972626	0.000227842333105491	0.00212903758049307
Zm00001d000670	0.00242200328407224	0.00132564388417231	0.00162337662337662	0.00179034126387372
Zm00001d000671	0.013124704161263	0.0700313083605256	0.0329765419805	0.0387108515007629
Zm00001d000675	0.00228247137250686	0.00232056794879804	0.00515216793503431	0.00325173575211307
Zm00001d000676	0.0123459873459873	0.0214368705715809	0.0502165283936017	0.0279997954370566
Zm00001d000678	0.00315066714517677	0.00281056013662948	0.00107578542780749	0.00234567090320458
Zm00001d000679	0.0137825963718821	0.010703656462585	0.00640625	0.0102975009448224
Zm00001d000680	0.00389527458492976	0.00302123377570948	0.0046242237018366	0.00384691068749195
Zm00001d000681	0.00337600852306734	0.00158594146080445	0.00220041763791764	0.00238745587392981
Zm00001d000683	0.0555555555555557	0.0148015873015873	0.136349431818182	0.0689021915584417
Zm00001d000685	0.0126447536902144	0.0248343069061524	0.066118798880659	0.0345326198256753
Zm00001d000686	0.00725308641975308	0.00153228153934369	0.0014792899408284	0.00342155263330839
Zm00001d000687	0	0.000641025641025641	0.0169155844155844	0.00585220335220335
Zm00001d000688	0.0027391975308642	0.00197422094027716	0.00316602795513606	0.00262648214209247
Zm00001d000689	0.00686408036408036	0.00783343203084537	0.000819011310826868	0.0051721745685842
Zm00001d000692	0.000854700854700854	0.00349709012392836	0.00453056602602882	0.00296078566821934
Zm00001d000695	0.291666666666667	0.263574735449735	0.204151135901136	0.253130846005846
Zm00001d000696	0.000754147812971344	0.00180326549811844	0.00079754123871771	0.00111831818326916
Zm00001d000697	0	0.00271017497908255	0.000925925925925922	0.00121203363500282
Zm00001d000698	0.00170940170940171	0.00142668178382464	0.00175894958503654	0.0016316776927543
Zm00001d000699	0	0.0205953949432211	0.120780723905724	0.0471253729496484
Zm00001d000700	0.00288395316804407	0.0200332613931326	0.0120606739147127	0.0116592961586298
Zm00001d000702	0.0242064248353556	0.00446178631604786	0.094088844026344	0.0409190183925825
Zm00001d000707	0.00623885918003565	0.0122140910068072	0.0234760190537644	0.0139763230802024
Zm00001d000708	0.00815233966094119	0.00302358868316853	0.000605413105413105	0.00392711381650761
Zm00001d000709	0.777314814814815	0.396623838782994	0.113508659651752	0.42914910441652
Zm00001d000714	0.00396265213692894	0.00160084372517467	0.00124178078528643	0.00226842554913001
Zm00001d000717	0.00369664385793418	0.0161810696307343	0.00489656473347288	0.00825809274071379
