Genes (V3)	Genes (V4)	 Maize_EAR	 Teosinte_EAR	 Maize_LEAF	 Teosinte_LEAF	 Maize_STEM	 Teosinte_STEM
AC148152.3_FG001	Zm00001d007725	0	3	5	15	15	150
AC148152.3_FG005	Zm00001d007718	71	7	252	124	17686	27286
AC148152.3_FG008	Zm00001d007716	42	107	727	393	16	47
AC148167.6_FG001	Zm00001d018986	4006	4175	2755	2746	2680	2657
AC149475.2_FG002	Zm00001d048402	1371	908	660	537	702	619
AC149475.2_FG003	Zm00001d048403	3846	3464	2925	3660	2923	2312
AC149475.2_FG005	Zm00001d048404	4888	4095	2417	2209	2173	1898
AC149475.2_FG007	Zm00001d048407	2	15	0	17	2	21
AC149810.2_FG008	Zm00001d048342	4	9	5	4	23	15
AC149818.2_FG001	Zm00001d048393	99	101	76	95	83	101
AC149818.2_FG005	Zm00001d048396	30	18	51	15	17	4
AC149818.2_FG006	Zm00001d048397	1938	1689	885	1016	1925	2001
AC149818.2_FG007	Zm00001d048398	68	163	13	29	56	39
AC149818.2_FG008	Zm00001d048400	637	1099	313	308	198	225
AC149828.2_FG002	Zm00001d048271	2178	1879	1042	1659	1284	1562
AC149829.2_FG003	Zm00001d048308	57	28	9	13	24	19
AC150739.3_FG001	Zm00001d048542	477	405	217	290	138	213
AC155376.2_FG004	Zm00001d012158	380	304	1338	680	837	699
AC155376.2_FG005	Zm00001d012159	448	363	276	142	693	763
AC155377.1_FG001	Zm00001d044303	3311	3992	4338	4534	4566	4702
AC155377.1_FG002	Zm00001d044304	72	88	210	162	97	113
AC155390.2_FG002	Zm00001d028388	193	218	81	82	113	169
AC155434.2_FG001	Zm00001d022529	0	6	159	189	24	30
AC155434.2_FG004	Zm00001d022527	10893	10626	3895	4508	5458	4621
AC155434.2_FG005	Zm00001d022526	5	4	14	7	18	14
AC155496.2_FG009	Zm00001d013116	3292	3004	3305	2906	1963	1913
AC155610.2_FG007	Zm00001d042723	4	19	856	212	26	7
AC155624.2_FG006	Zm00001d027570	997	1070	586	651	910	960
AC155624.2_FG011	Zm00001d027573	13	13	55	27	18	28
AC159612.1_FG007	Zm00001d013097	16	50	18	20	19	24
AC166636.1_FG009	Zm00001d028013	24	18	18	7	1	2
AC177831.3_FG004	Zm00001d003635	NA	NA	NA	NA	NA	NA
AC177897.2_FG002	Zm00001d033503	26	20	11	12	118	190
AC177899.2_FG009	Zm00001d034933	95	104	63	95	52	47
AC177908.3_FG002	Zm00001d029516	307	375	796	729	1336	1056
AC182482.3_FG003	Zm00001d040002	137	41	333	292	90	37
AC182617.3_FG001	Zm00001d041575	155	147	356	247	173	85
AC183315.4_FG006	Zm00001d040107	12	13	22	14	62	89
AC183413.3_FG006	Zm00001d015738	6	0	3	0	2	0
AC183888.4_FG008	Zm00001d054056	NA	NA	NA	NA	NA	NA
AC183932.3_FG007	Zm00001d013168	989	1720	855	1038	187	570
AC183950.2_FG003	Zm00001d012095	70	4	5	0	5	4
AC183950.2_FG005	Zm00001d012097	3	0	4	0	1	0
AC184130.4_FG005	Zm00001d053755	0	4	2	2	NA	NA
AC184133.3_FG001	Zm00001d046036	0	16	0	9	0	10
AC185300.4_FG002	Zm00001d053522	31	33	47	22	141	96
AC185422.3_FG005	Zm00001d051305	0	6	7	4	0	3
AC185471.3_FG005	Zm00001d051789	75	37	62	94	5	9
AC185501.3_FG001	Zm00001d052120	NA	NA	3	0	2	0
AC185501.3_FG006	Zm00001d052131	12	33	49	61	18	24
AC185593.3_FG003	Zm00001d029802	NA	NA	NA	NA	1	1
AC185623.4_FG010	Zm00001d051515	4	0	NA	NA	NA	NA
AC185655.3_FG005	Zm00001d003342	NA	NA	NA	NA	NA	NA
AC186147.3_FG008	Zm00001d051681	3	2	67	69	NA	NA
AC186231.4_FG002	Zm00001d031878	101	27	16	3	27	102
AC186287.7_FG005	Zm00001d052035	1	1	NA	NA	7	4
AC186579.3_FG007	Zm00001d011883	NA	NA	NA	NA	NA	NA
AC186656.4_FG012	Zm00001d034481	0	2	NA	NA	NA	NA
AC187098.4_FG011	Zm00001d022587	947	837	386	397	384	363
AC187157.4_FG002	Zm00001d008871	443	367	180	303	351	222
AC187157.4_FG005	Zm00001d008869	37	28	7	26	37	29
AC187212.3_FG011	Zm00001d002297	NA	NA	NA	NA	NA	NA
AC187551.3_FG002	Zm00001d010032	416	309	284	265	164	132
AC187802.3_FG008	Zm00001d038654	0	1	NA	NA	NA	NA
AC188023.3_FG005	Zm00001d039064	708	543	1069	879	380	458
AC188710.4_FG006	Zm00001d037658	NA	NA	18	11	81	109
AC188723.3_FG001	Zm00001d009911	0	1	NA	NA	NA	NA
AC188838.3_FG005	Zm00001d038332	14	5	3	3	4	11
AC189750.4_FG004	Zm00001d021596	271	123	48	53	788	860
AC189795.3_FG001	Zm00001d026427	620	291	101	42	51	49
AC189879.3_FG003	Zm00001d046438	5104	3732	1786	2829	941	751
AC190526.3_FG004	Zm00001d016377	NA	NA	1	0	4	0
AC190609.3_FG001	Zm00001d052717	NA	NA	1	0	NA	NA
AC190609.3_FG002	Zm00001d052718	6240	7958	11524	20756	8152	14939
AC190609.3_FG003	Zm00001d052719	103	83	41	69	56	66
AC190609.3_FG004	Zm00001d052720	616	559	259	193	386	371
AC190623.3_FG001	Zm00001d043299	55	446	5422	3948	45	317
AC190623.3_FG002	Zm00001d043300	4	270	73	210	2	293
AC190636.3_FG005	Zm00001d012819	5	5	13	11	40	75
AC190734.2_FG003	Zm00001d013467	1	0	0	1	NA	NA
AC190909.3_FG004	Zm00001d014867	2288	2861	783	1001	601	521
AC191048.2_FG006	Zm00001d013069	20	10	20	15	11	4
AC191069.3_FG004	Zm00001d009132	469	530	645	630	697	685
AC191097.3_FG007	Zm00001d052746	0	1	36	7	2	2
AC191113.2_FG002	Zm00001d002126	693	1625	289	424	3300	3496
AC191246.3_FG006	Zm00001d016815	208	258	114	135	75	86
AC191251.3_FG005	Zm00001d013120	134	72	81	53	40	64
AC191575.2_FG001	Zm00001d034725	3	0	5	21	38	120
AC191676.3_FG011	Zm00001d013643	19	26	88	47	98	35
AC192451.3_FG001	Zm00001d016041	816	826	904	523	1209	1561
AC193500.3_FG003	Zm00001d027286	1	0	NA	NA	NA	NA
AC193598.3_FG002	Zm00001d035125	1	2	6	2	68	59
AC193632.2_FG002	Zm00001d049727	6	3	8	20	102	43
AC193754.3_FG008	Zm00001d003238	81	25	30	12	26	33
AC193786.3_FG005	Zm00001d011847	3	8	NA	NA	26	46
AC194005.3_FG004	Zm00001d035978	6	7	60	64	22	7
AC194032.3_FG010	Zm00001d048351	13	0	30	1	39	1
AC194341.4_FG002	Zm00001d011278	98	78	183	239	235	221
AC194341.4_FG004	Zm00001d011276	188	282	52	69	61	96
AC194405.3_FG021	Zm00001d012575	8	4	0	1	0	2
AC194425.3_FG005	Zm00001d043276	26	26	92	36	373	422
AC194457.3_FG001	Zm00001d019537	NA	NA	NA	NA	NA	NA
AC194937.3_FG004	Zm00001d015806	NA	NA	1	0	1	1
AC194965.4_FG001	Zm00001d037604	697	837	287	310	1078	1307
AC194970.5_FG001	Zm00001d006678	160	215	1590	1376	189	199
AC194970.5_FG004	Zm00001d006681	804	491	268	249	402	434
AC194970.5_FG005	Zm00001d006679	546	917	907	1016	569	868
AC194970.5_FG009	Zm00001d006680	7922	7219	2135	3462	2402	2783
AC194974.3_FG005	Zm00001d018059	0	6	28	0	46	19
AC195147.3_FG001	Zm00001d022253	NA	NA	0	2	0	4
AC195235.3_FG003	Zm00001d002487	21	0	2	0	4	0
AC195340.3_FG001	Zm00001d013159	70152	60439	37151	41227	30431	24952
AC195340.3_FG002	Zm00001d013156	1806	1211	1974	1808	2041	1957
AC195340.3_FG004	Zm00001d013154	68	133	1901	889	3109	2966
AC195347.4_FG004	Zm00001d017099	544	402	391	251	619	811
AC195484.3_FG003	Zm00001d020159	0	4	0	1	0	2
AC195587.4_FG004	Zm00001d036280	193	104	39	51	272	280
AC195860.3_FG005	Zm00001d038976	27	33	7	23	12	22
AC195860.3_FG006	Zm00001d038975	1727	1417	1843	2602	1938	1390
AC195864.3_FG017	Zm00001d022224	44	53	17	14	15	16
AC195874.2_FG002	Zm00001d007270	756	846	947	1094	1151	1315
AC196090.3_FG006	Zm00001d048495	59	0	12	0	6	3
AC196161.3_FG002	Zm00001d028767	0	3	NA	NA	NA	NA
AC196394.3_FG002	Zm00001d027897	0	5	NA	NA	NA	NA
AC196426.3_FG007	Zm00001d011213	1890	1991	1821	1928	2842	2715
AC196475.3_FG005	Zm00001d049540	11043	16047	2757	2328	6041	4783
AC196489.3_FG002	Zm00001d003896	880	834	1092	1719	644	609
AC196637.2_FG002	Zm00001d042602	8	10	6	6	4	6
AC196779.3_FG003	Zm00001d036107	57	125	52	33	17	11
AC196978.5_FG002	Zm00001d023369	NA	NA	NA	NA	NA	NA
AC197056.3_FG005	Zm00001d004033	219	178	102	97	183	133
AC197118.3_FG005	Zm00001d015247	557	678	457	623	333	604
AC197146.3_FG001	Zm00001d023283	662	532	222	381	151	160
AC197164.4_FG002	Zm00001d014730	0	2	0	2	0	7
AC197246.3_FG001	Zm00001d031562	229	274	326	302	364	300
AC197246.3_FG003	Zm00001d031560	4849	3704	3208	3617	3131	2606
AC197555.3_FG008	Zm00001d044548	283	190	258	179	273	229
AC197672.3_FG002	Zm00001d024998	7257	5829	6283	6499	4150	4093
AC197699.3_FG002	Zm00001d045232	4	1	2	3	4	3
AC197699.3_FG003	Zm00001d045233	145	179	158	136	295	229
AC197705.4_FG001	Zm00001d010588	0	8	NA	NA	0	2
AC197705.4_FG003	Zm00001d010586	3	1	1	0	2	6
AC197705.4_FG006	Zm00001d010589	2172	2459	1277	1080	2166	1998
AC197705.4_FG007	Zm00001d010590	2170	2216	1576	2084	2281	2551
AC197705.4_FG008	Zm00001d010591	NA	NA	2	1	NA	NA
AC197705.4_FG011	Zm00001d010585	309	308	1257	1552	160	438
AC197717.3_FG002	Zm00001d048085	490	579	86	154	146	243
AC198169.4_FG004	Zm00001d017345	1194	1593	3248	5138	870	1281
AC198353.5_FG004	Zm00001d005972	286	299	369	358	92	108
AC198361.3_FG004	Zm00001d032739	1157	1098	1242	1027	1087	831
AC198418.3_FG005	Zm00001d034721	1808	3601	28062	29178	633	1054
AC198518.3_FG003	Zm00001d041052	615	559	294	399	332	337
AC198725.4_FG007	Zm00001d044164	1774	1753	1020	1454	1013	1150
AC198725.4_FG009	Zm00001d044162	2	2	7	0	7	28
AC198752.4_FG004	Zm00001d050700	NA	NA	NA	NA	0	2
AC198937.4_FG003	Zm00001d050412	1	0	32	13	17	24
AC198937.4_FG005	Zm00001d050410	NA	NA	NA	NA	NA	NA
AC199039.3_FG003	Zm00001d011118	400	294	6	23	38	55
AC199315.4_FG001	Zm00001d011185	73	8	44	14	66	7
AC199526.5_FG002	Zm00001d040697	571	714	5490	5454	12505	12536
AC199526.5_FG003	Zm00001d040696	433	522	1381	1427	173	275
AC199541.4_FG007	Zm00001d029619	18	1	10	0	10	37
AC199782.5_FG001	Zm00001d006167	237	338	591	677	507	589
AC199782.5_FG002	Zm00001d006166	1504	1539	1111	1548	981	1024
AC199782.5_FG003	Zm00001d006165	8	6	NA	NA	5	9
AC199820.4_FG006	Zm00001d006791	0	3	NA	NA	NA	NA
AC199826.4_FG003	Zm00001d032248	16	21	1	5	10	6
AC199908.4_FG002	Zm00001d031137	0	3	0	1	NA	NA
AC200057.4_FG007	Zm00001d021189	192	230	152	162	167	173
AC200178.2_FG002	Zm00001d004254	NA	NA	1	0	NA	NA
AC200753.3_FG003	Zm00001d018871	NA	NA	3	7	1	3
AC200904.3_FG003	Zm00001d040224	NA	NA	NA	NA	0	2
AC201815.4_FG001	Zm00001d014471	48	37	31	29	21	20
AC202011.3_FG010	Zm00001d032000	0	3	5	16	108	110
AC202122.2_FG001	Zm00001d045486	NA	NA	NA	NA	0	10
AC202181.3_FG010	Zm00001d011601	40	0	37	0	20	0
AC202185.4_FG004	Zm00001d030346	217	218	2538	1443	1834	558
AC202439.3_FG006	Zm00001d037242	6	1	NA	NA	8	0
AC202707.3_FG002	Zm00001d049911	102	37	11	3	106	33
AC202915.3_FG002	Zm00001d010902	16	10	4	15	35	44
AC202950.3_FG008	Zm00001d012873	NA	NA	NA	NA	2	0
AC202959.3_FG001	Zm00001d040914	NA	NA	1	0	NA	NA
AC202974.3_FG004	Zm00001d012889	2	4	0	8	1	3
AC203173.3_FG002	Zm00001d012769	0	6	0	2	0	42
AC203173.3_FG004	Zm00001d012770	20388	19843	23579	25226	24480	23407
AC203294.3_FG001	Zm00001d012552	1	0	NA	NA	NA	NA
AC203294.3_FG012	Zm00001d012551	50	3	3	0	3	0
AC203366.4_FG001	Zm00001d044363	285	178	215	135	253	176
AC203392.3_FG004	Zm00001d012315	NA	NA	NA	NA	NA	NA
AC203408.4_FG003	Zm00001d035442	NA	NA	1	0	0	4
AC203535.4_FG001	Zm00001d042287	7615	6050	4544	5352	5230	4741
AC203535.4_FG002	Zm00001d042288	1541	1103	1350	1284	468	331
AC203535.4_FG004	Zm00001d042289	16	126	315	383	7	19
AC203535.4_FG006	Zm00001d042286	13	16	0	4	4	10
AC203761.3_FG002	Zm00001d045746	318	333	364	390	187	213
AC203841.3_FG002	Zm00001d025656	412	261	860	601	126	167
AC203841.3_FG009	Zm00001d025658	1016	904	1174	1105	1173	1036
AC203862.4_FG002	Zm00001d009760	980	770	262	256	443	276
AC203865.3_FG001	Zm00001d041444	115	144	31	71	100	124
AC203909.3_FG003	Zm00001d049539	8	0	2	0	3	1
AC203909.3_FG007	Zm00001d049536	NA	NA	NA	NA	NA	NA
AC203957.3_FG004	Zm00001d005578	1	2	9	2	78	38
AC203966.5_FG003	Zm00001d034901	107	73	57	71	131	109
AC203966.5_FG005	Zm00001d034898	36	79	1	16	25	101
AC203972.3_FG001	Zm00001d023923	171	233	614	109	328	490
AC203972.3_FG003	Zm00001d023925	NA	NA	NA	NA	0	6
AC203985.4_FG005	Zm00001d024573	338	297	293	431	260	278
AC204007.3_FG008	Zm00001d012165	177	102	17	84	28	23
AC204050.4_FG006	Zm00001d038883	0	16	NA	NA	3	0
AC204212.4_FG001	Zm00001d017782	15	0	1	11	9	10
AC204292.4_FG002	Zm00001d037891	129	139	53	105	92	45
AC204292.4_FG005	Zm00001d037889	0	2	0	1	0	1
AC204292.4_FG006	Zm00001d037890	NA	NA	NA	NA	1	0
AC204359.3_FG005	Zm00001d012562	53	88	130	110	230	158
AC204502.4_FG006	Zm00001d012498	6	0	1	0	8	7
AC204515.4_FG006	Zm00001d043200	9	4	8	3	116	71
AC204530.4_FG002	Zm00001d029206	1490	1150	706	1168	878	996
AC204530.4_FG003	Zm00001d029207	7	1	4	1	10	0
AC204703.3_FG007	Zm00001d044392	0	2	NA	NA	0	4
AC204711.3_FG002	Zm00001d025082	8	11	434	250	10	1
AC204711.3_FG003	Zm00001d025081	2	2	0	5	7	15
AC204868.3_FG004	Zm00001d052451	NA	NA	NA	NA	0	1
AC205008.4_FG002	Zm00001d019226	38	24	15	6	11	5
AC205035.3_FG004	Zm00001d037647	6	51	3	8	4	77
AC205057.3_FG002	Zm00001d050436	9	8	2	3	11	4
AC205122.4_FG003	Zm00001d018668	675	676	548	314	857	884
AC205122.4_FG006	Zm00001d018671	0	22	0	16	5	14
AC205122.4_FG009	Zm00001d018674	3	2	NA	NA	1	0
AC205122.4_FG010	Zm00001d018675	0	4	5	28	4	6
AC205326.3_FG002	Zm00001d012404	359	357	262	344	231	286
AC205419.3_FG001	Zm00001d047923	4596	10337	9983	6726	10803	7382
AC205471.4_FG003	Zm00001d010812	22	45	9	6	28	39
AC205484.3_FG005	Zm00001d050870	4	0	1	0	NA	NA
AC205500.3_FG002	Zm00001d030154	1	0	1	0	NA	NA
AC205502.4_FG004	Zm00001d029139	80	105	97	89	80	47
AC205521.3_FG003	Zm00001d050191	4704	5435	4111	3284	5271	4341
AC205562.3_FG002	Zm00001d050247	2	0	NA	NA	4	0
AC205608.4_FG004	Zm00001d006823	710	528	3515	937	1776	1398
AC205677.3_FG001	Zm00001d035093	4181	5275	4061	4366	4175	3966
AC205703.4_FG002	Zm00001d017106	1991	2424	2200	2023	3564	3933
AC205703.4_FG005	Zm00001d017110	388	496	171	264	523	584
AC205703.4_FG006	Zm00001d017111	961	1308	3137	3188	757	1123
AC205703.4_FG010	Zm00001d017113	4308	5054	3497	3111	3952	3496
AC205735.3_FG006	Zm00001d053026	53	37	22	4	13	19
AC205968.3_FG001	Zm00001d014743	5	0	NA	NA	NA	NA
AC206030.4_FG001	Zm00001d031730	1	1	90	25	27	28
AC206165.3_FG007	Zm00001d038746	3	2	0	1	0	5
AC206223.3_FG001	Zm00001d047723	174	136	711	387	2757	2986
AC206223.3_FG006	Zm00001d047719	1197	693	699	627	1835	1042
AC206223.3_FG008	Zm00001d047721	0	23	2	1	12	19
AC206223.3_FG010	Zm00001d047720	100	64	188	136	189	153
AC206262.3_FG004	Zm00001d038628	NA	NA	NA	NA	NA	NA
AC206265.3_FG006	Zm00001d047616	20	5	5	1	0	1
AC206273.3_FG004	Zm00001d047012	NA	NA	2	0	0	1
AC206425.3_FG002	Zm00001d041662	NA	NA	0	4	23	112
AC206642.4_FG001	Zm00001d004052	2526	2677	3251	4740	2564	2887
AC206788.3_FG015	Zm00001d038764	8	17	57	72	178	162
AC206840.3_FG002	Zm00001d029100	291	237	279	261	247	204
AC206901.3_FG005	Zm00001d025864	NA	NA	0	4	27	19
AC206968.3_FG003	Zm00001d003567	1171	1106	957	1042	769	928
AC206999.1_FG002	Zm00001d031037	0	37	0	24	0	41
AC207206.3_FG001	Zm00001d004952	NA	NA	NA	NA	NA	NA
AC207265.3_FG002	Zm00001d045154	131	281	1034	974	748	1129
AC207328.3_FG003	Zm00001d050911	1	5	NA	NA	4	2
AC207342.3_FG007	Zm00001d011145	199	194	100	84	94	83
AC207342.3_FG008	Zm00001d011144	9	18	14	18	99	83
AC207347.3_FG005	Zm00001d033272	264	356	281	299	276	396
AC207533.2_FG002	Zm00001d005063	43	27	15	17	22	14
AC207628.4_FG005	Zm00001d043661	77	37	46	36	42	13
AC207628.4_FG009	Zm00001d043653	538	1560	446	668	966	851
AC207652.3_FG001	Zm00001d040320	1298	1449	494	473	790	764
AC207722.2_FG009	Zm00001d021435	227	738	12250	13077	90	696
AC207756.3_FG001	Zm00001d051187	1	2	1	2	5	1
AC207890.3_FG002	Zm00001d050606	2784	2613	3948	4135	4430	3962
AC208023.3_FG001	Zm00001d046929	2913	2564	3547	3144	3736	3449
AC208031.3_FG002	Zm00001d020820	49	33	187	111	14	5
AC208110.2_FG001	Zm00001d026218	65	59	NA	NA	24	26
AC208110.2_FG006	Zm00001d026222	2600	3829	765	1286	413	455
AC208110.2_FG007	Zm00001d026223	NA	NA	2	4	2	2
AC208113.3_FG005	Zm00001d033586	4	0	0	3	6	4
AC208201.3_FG001	Zm00001d028753	166	168	225	311	295	307
AC208201.3_FG002	Zm00001d028752	94	434	36	69	73	49
AC208201.3_FG003	Zm00001d028751	2	2	247	104	499	179
AC208327.4_FG003	Zm00001d010850	1314	1395	637	792	721	785
AC208327.4_FG006	Zm00001d010851	410	360	180	202	237	272
AC208341.4_FG006	Zm00001d010068	23	21	26	23	17	28
AC208348.3_FG012	Zm00001d018537	14	7	24	6	4	6
AC208358.3_FG005	Zm00001d050048	39	43	416	260	4	3
AC208436.3_FG007	Zm00001d028749	1544	1062	171	370	169	142
AC208440.3_FG003	Zm00001d032575	1869	1663	679	693	938	829
AC208826.3_FG003	Zm00001d019572	0	3	0	1	0	1
AC208897.3_FG004	Zm00001d028230	46	10	8	0	35	42
AC208920.3_FG001	Zm00001d050318	NA	NA	NA	NA	NA	NA
AC209206.3_FG014	Zm00001d026109	5	1	2	0	1	0
AC209208.3_FG001	Zm00001d017525	1243	1464	1080	1098	1377	1251
AC209208.3_FG002	Zm00001d017526	7895	14324	33728	25932	20418	23752
AC209208.3_FG003	Zm00001d017524	3	3	74	31	35	33
AC209208.3_FG005	Zm00001d017523	381	388	369	378	379	427
AC209212.3_FG005	Zm00001d034912	1	0	2	0	NA	NA
AC209242.3_FG003	Zm00001d053627	631	716	546	703	549	552
AC209257.4_FG008	Zm00001d038448	59	58	64	57	78	41
AC209364.3_FG009	Zm00001d044489	1	0	3	0	1	0
AC209636.2_FG003	Zm00001d038178	4	25	39	8	38	81
AC209664.3_FG002	Zm00001d044828	820	1025	1389	1405	1164	1289
AC209718.1_FG009	Zm00001d039449	111	47	25	24	26	24
AC209744.3_FG001	Zm00001d041638	NA	NA	NA	NA	23	0
AC209784.3_FG007	Zm00001d042922	543	376	192	1332	1279	3948
AC209784.3_FG011	Zm00001d042917	47	129	28	81	6	37
AC209819.3_FG005	Zm00001d010736	35	10	17	28	85	83
AC209819.3_FG012	Zm00001d010732	100	80	145	118	37	23
AC209858.4_FG002	Zm00001d027706	4015	3443	2031	2811	2708	2603
AC209987.4_FG002	Zm00001d014459	327	667	1186	1190	17	41
AC210003.2_FG004	Zm00001d002004	145	166	157	117	14	89
AC210013.4_FG002	Zm00001d013038	9	4	69	53	166	6
AC210013.4_FG008	Zm00001d013023	2076	1723	982	1332	1328	1292
AC210013.4_FG009	Zm00001d013025	160	124	123	89	98	102
AC210013.4_FG011	Zm00001d013027	137	199	318	339	133	162
AC210013.4_FG013	Zm00001d013029	75	86	79	81	18	19
AC210013.4_FG014	Zm00001d013030	61	29	88	9	65	27
AC210013.4_FG018	Zm00001d013033	2	0	4	0	7	0
AC210013.4_FG019	Zm00001d013034	3044	2412	3798	6017	3833	5564
AC210169.3_FG002	Zm00001d014026	247	383	347	458	271	317
AC210173.4_FG002	Zm00001d032471	628	498	196	157	250	207
AC210173.4_FG005	Zm00001d032468	1	2	62	7	56	69
AC210193.4_FG002	Zm00001d043430	1	1	48	21	34	9
AC210204.3_FG002	Zm00001d005315	2	8	3	15	24	51
AC210314.3_FG006	Zm00001d047857	727	782	366	405	1575	1546
AC210517.3_FG003	Zm00001d030345	365	574	2580	3569	1202	915
AC210616.4_FG005	Zm00001d050861	2	0	NA	NA	2	3
AC210669.3_FG001	Zm00001d009309	165	515	66	448	15	53
AC210816.3_FG006	Zm00001d030748	0	1	0	1	1	1
AC210848.3_FG004	Zm00001d015469	998	659	607	274	773	427
AC210883.4_FG003	Zm00001d013764	NA	NA	NA	NA	NA	NA
AC210961.3_FG005	Zm00001d013484	1	4	NA	NA	0	1
AC211152.4_FG007	Zm00001d045257	2	0	NA	NA	0	1
AC211164.5_FG003	Zm00001d006096	365	404	330	285	574	535
AC211164.5_FG004	Zm00001d006097	34	43	119	82	43	72
AC211166.5_FG009	Zm00001d034567	0	2	NA	NA	NA	NA
AC211175.3_FG005	Zm00001d043562	158	166	229	129	161	112
AC211218.4_FG002	Zm00001d040709	10	0	NA	NA	5	0
AC211276.4_FG008	Zm00001d013672	1124	806	407	358	691	567
AC211349.4_FG001	Zm00001d012787	108	58	645	410	73	74
AC211357.4_FG004	Zm00001d018330	731	661	448	353	647	555
AC211390.3_FG001	Zm00001d030012	445	644	677	621	566	700
AC211394.4_FG004	Zm00001d046593	4054	3910	6260	4630	6627	8415
AC211401.4_FG003	Zm00001d033854	1435	1188	1018	812	654	660
AC211474.3_FG006	Zm00001d008692	239	87	259	81	751	222
AC211589.3_FG003	Zm00001d002861	0	1	NA	NA	NA	NA
AC211652.4_FG002	Zm00001d049225	378	454	149	175	185	160
AC212023.4_FG004	Zm00001d032495	NA	NA	0	1	NA	NA
AC212068.4_FG005	Zm00001d038143	5	7	36	51	67	109
AC212112.4_FG002	Zm00001d018005	279	326	370	493	432	536
AC212219.3_FG005	Zm00001d028744	NA	NA	0	2	14	10
AC212323.4_FG007	Zm00001d031195	1	0	NA	NA	NA	NA
AC212353.4_FG004	Zm00001d044808	281	146	157	160	108	129
AC212565.3_FG001	Zm00001d008669	1163	1459	202	1059	431	277
AC212565.3_FG002	Zm00001d008668	NA	NA	NA	NA	NA	NA
AC212570.3_FG006	Zm00001d019200	626	475	421	576	386	462
AC212684.3_FG012	Zm00001d022480	132	120	50	35	25	70
AC212835.3_FG001	Zm00001d002771	63	42	30	19	25	16
AC212835.3_FG007	Zm00001d002775	104	158	927	486	382	399
AC212835.3_FG008	Zm00001d002776	2	0	1	2	1	0
AC212859.3_FG007	Zm00001d002933	489	112	61	56	144	89
AC212859.3_FG008	Zm00001d002934	0	1	8	4	14	10
AC213050.3_FG001	Zm00001d036689	309	322	132	139	102	115
AC213099.3_FG002	Zm00001d029248	502	631	262	522	349	420
AC213432.2_FG004	Zm00001d052424	1	3	NA	NA	NA	NA
AC213463.3_FG002	Zm00001d013523	552	439	519	382	450	378
AC213463.3_FG004	Zm00001d013521	988	748	129	234	183	145
AC213463.3_FG009	Zm00001d013519	26	14	1	14	0	4
AC213521.3_FG005	Zm00001d032532	595	1881	2363	2085	870	537
AC213600.3_FG002	Zm00001d040449	2060	3004	1551	2219	2963	3145
AC213612.3_FG001	Zm00001d045877	NA	NA	11	42	249	149
AC213654.3_FG003	Zm00001d043181	15	7	16	2	7	6
AC213654.3_FG004	Zm00001d043180	0	2	NA	NA	NA	NA
AC213654.3_FG005	Zm00001d043187	408	388	68	74	185	185
AC213769.3_FG001	Zm00001d043622	5	2	NA	NA	3	27
AC213884.3_FG001	Zm00001d037993	1252	748	752	890	1101	827
AC214040.3_FG009	Zm00001d028455	0	1	54	21	12	15
AC214147.3_FG002	Zm00001d052970	0	5	0	1	NA	NA
AC214168.3_FG001	Zm00001d003755	44	57	5	15	1	13
AC214266.3_FG002	Zm00001d024093	234	167	117	134	92	91
AC214267.3_FG004	Zm00001d032918	1	0	2	0	NA	NA
AC214350.3_FG007	Zm00001d016619	1424	1274	1690	1933	2432	2592
AC214360.3_FG001	Zm00001d041082	2	0	1	0	77	134
AC214448.3_FG007	Zm00001d042950	1870	2250	3127	2172	3573	3524
AC214451.3_FG005	Zm00001d038249	4	0	NA	NA	6	0
AC214507.3_FG001	Zm00001d025706	335	1158	361	736	184	692
AC214534.3_FG010	Zm00001d042389	273	408	140	143	87	114
AC214635.3_FG002	Zm00001d050862	448	375	498	319	754	648
AC214640.3_FG003	Zm00001d021379	533	542	487	807	511	562
AC214648.3_FG003	Zm00001d010982	1262	1556	1012	1076	2142	2685
AC214817.3_FG004	Zm00001d038487	1106	2600	4834	4660	966	1279
AC214817.3_FG007	Zm00001d038484	0	3	NA	NA	0	104
AC215198.3_FG002	Zm00001d045089	209	106	102	55	74	54
AC215201.3_FG005	Zm00001d000399	2228	1663	49566	33192	563	954
AC215201.3_FG008	Zm00001d000400	9	12	34	58	7	13
AC215244.3_FG002	Zm00001d052700	5277	5526	7228	6519	6718	5663
AC215260.3_FG003	Zm00001d039840	1	0	154	95	NA	NA
AC215260.3_FG004	Zm00001d039841	868	869	1224	843	752	883
AC215309.3_FG001	Zm00001d031900	4	9	5	7	0	4
AC215639.3_FG002	Zm00001d024175	NA	NA	3	0	7	15
AC215690.3_FG002	Zm00001d025170	2467	2494	2696	2351	5092	4351
AC216010.3_FG001	Zm00001d041833	277	211	93	137	210	156
AC216067.3_FG002	Zm00001d053010	320	377	743	550	770	682
AC216247.3_FG001	Zm00001d029270	NA	NA	0	2	0	1
AC216264.3_FG001	Zm00001d014443	3	0	1	1	17	2
AC216734.3_FG006	Zm00001d052849	5	3	0	2	NA	NA
AC216870.3_FG005	Zm00001d037001	16	7	9	3	25	12
AC216871.3_FG004	Zm00001d008496	0	2	23	40	15	8
AC216886.3_FG002	Zm00001d045721	19	30	5	8	2	2
AC217050.4_FG001	Zm00001d032229	145	104	109	138	219	204
AC217050.4_FG004	Zm00001d032226	1128	974	1002	852	1109	790
