Genes (V3)	Genes (V4)	 Maize_EAR	 Teosinte_EAR	 Maize_LEAF	 Teosinte_LEAF	 Maize_STEM	 Teosinte_STEM
GRMZM2G099097	Zm00001d051932	1262	840	228	413	102	42
GRMZM2G099101	Zm00001d047538	3522	2396	356	760	309	245
GRMZM2G099109	Zm00001d051249	106	108	105	95	70	59
GRMZM2G099130	Zm00001d002703	3797	3316	2508	2230	3132	2676
GRMZM2G099136	Zm00001d050558	4	9	1	3	1	0
GRMZM2G099160	Zm00001d012863	249	284	182	146	314	310
GRMZM2G099167	Zm00001d006651	7255	6584	19450	10874	7344	5913
GRMZM2G099183	Zm00001d003242	606	556	272	376	320	489
GRMZM2G099186	Zm00001d035551	5583	5339	5208	5065	4236	3658
GRMZM2G099187	Zm00001d035990	3284	3110	1647	1657	2294	2022
GRMZM2G099191	Zm00001d014669	1688	1986	1039	687	4319	3353
GRMZM2G099206	Zm00001d041324	14	28	0	10	8	14
GRMZM2G099207	Zm00001d022247	3658	3805	13272	8098	9424	7934
GRMZM2G099231	Zm00001d009230	349	344	74	104	284	124
GRMZM2G099239	Zm00001d006626	104	172	165	32	842	148
GRMZM2G099253	Zm00001d022246	1376	1123	595	965	787	869
GRMZM2G099255	Zm00001d014668	1281	1105	597	657	990	883
GRMZM2G099270	Zm00001d006625	1826	1316	1347	774	1727	1893
GRMZM2G099278	Zm00001d035989	198	343	100	116	126	110
GRMZM2G099285	Zm00001d006624	36	52	1594	1280	10	15
GRMZM2G099295	Zm00001d006623	448	780	91	245	152	418
GRMZM2G099305	Zm00001d034143	26	4	0	3	3	1
GRMZM2G099317	Zm00001d035552	1445	1757	707	812	768	869
GRMZM2G099319	Zm00001d031182	85	42	763	369	982	763
GRMZM2G099324	Zm00001d045207	2	4	6	2	12	10
GRMZM2G099328	Zm00001d030953	600	618	1276	717	1926	2093
GRMZM2G099334	Zm00001d016653	1704	1560	1327	1207	901	1036
GRMZM2G099337	Zm00001d047044	3290	2874	657	469	1162	1306
GRMZM2G099352	Zm00001d024511	7389	5971	8434	11262	6006	7626
GRMZM2G099355	Zm00001d045199	17448	14955	8331	9126	8915	7737
GRMZM2G099363	Zm00001d045206	7	4	17	4	34	18
GRMZM2G099366	Zm00001d031183	233	107	15	26	15	11
GRMZM2G099367	Zm00001d032380	100	202	1655	863	142	115
GRMZM2G099376	Zm00001d051936	6	1	4	3	5	8
GRMZM2G099382	Zm00001d044109	59	76	10	20	183	112
GRMZM2G099413	Zm00001d014667	4	8	37	31	12	7
GRMZM2G099420	Zm00001d051938	0	1	NA	NA	3	0
GRMZM2G099425	Zm00001d006621	345	477	141	113	104	127
GRMZM2G099434	Zm00001d014666	77	68	67	38	43	32
GRMZM2G099449	Zm00001d013078	351	164	400	382	533	465
GRMZM2G099452	Zm00001d014665	8494	8515	1915	2186	2356	2044
GRMZM2G099454	Zm00001d027524	21	40	34	11	1983	958
