ftb,Freq
0,387052
1,86922
2,48921
3,31702
4,23135
5,17171
6,13691
7,10713
8,8865
9,7276
10,6682
11,5575
12,5001
13,4476
14,4171
15,3589
16,3432
17,3160
18,3067
19,2847
20,2729
21,2579
22,2381
23,2325
24,2202
25,2156
26,2016
27,2000
28,1835
29,1888
30,1794
31,1752
32,1724
33,1637
34,1593
35,1516
36,1589
37,1573
38,1434
39,1519
40,1546
41,1479
42,1432
43,1357
44,1449
45,1321
46,1373
47,1352
48,1292
49,1358
50,1352
51,1337
52,1324
53,1327
54,1333
55,1309
56,1411
57,1404
58,1401
59,1450
60,1496
61,1491
62,1496
63,1529
64,1519
65,1492
66,1716
67,1684
68,1821
69,1727
70,1812
71,1804
72,1896
73,2051
74,2002
75,2100
76,2202
77,2292
78,2441
79,2455
80,2563
81,2688
82,2736
83,2841
84,2815
85,3032
86,2900
87,3179
88,3275
89,3386
90,3407
91,3520
92,3638
93,3778
94,3921
95,3908
96,3973
97,4086
98,4191
99,4267
100,4182
101,4018
102,2959
