ftb,Freq
0,232699
1,11100
2,2112
3,825
4,477
5,328
6,215
7,184
8,129
9,125
10,97
11,86
12,75
13,59
14,43
15,48
16,44
17,49
18,26
19,33
20,34
21,30
22,24
23,24
24,23
25,17
26,18
27,11
28,11
29,12
30,11
31,13
32,7
33,11
34,11
35,12
36,6
37,7
38,4
39,3
40,3
41,5
42,6
43,1
44,3
45,1
46,4
47,2
48,0
49,2
50,3
51,1
52,0
53,0
54,2
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
